method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,service_continuity_rate,task_completion_rate,task_resolution_rate,pending_task_rate,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,selected_offload
han_mappo_latency_priority,HAN+MAPPO,1,306.4873181796836,2.1802557206454374,1383.4167035216556,0.8095238095238095,1.0,0.5514514853721902,1.0,0.0,0.6156870490620489,0.44854851462780976,8853.0,4882.0,3971.0,
han_mappo_latency_priority,HAN+MAPPO,2,311.40216529162285,2.1869940166214064,1409.6180881701955,0.7472527472527473,1.0,0.5529317818845539,1.0,0.0,0.6131988400488387,0.44706821811544606,8766.0,4847.0,3919.0,
han_mappo_latency_priority,HAN+MAPPO,3,282.089727965114,2.1804520108621386,1374.2499699137588,0.8717948717948718,1.0,0.5417981072555205,1.0,0.0,0.6115281468531466,0.4582018927444795,8876.0,4809.0,4067.0,
han_mappo_latency_priority,HAN+MAPPO,4,306.31189418354654,2.185987283665307,1415.2880229834298,0.7666666666666667,1.0,0.5510250569476082,1.0,0.0,0.6057816429548729,0.4489749430523918,8780.0,4838.0,3942.0,
han_mappo_latency_priority,HAN+MAPPO,5,305.70683982740337,2.184528669320122,1422.1568332763536,0.8607594936708861,1.0,0.5501967397414278,1.0,0.0,0.6137631729381726,0.44980326025857226,8895.0,4894.0,4001.0,
max_elev,Max-Elev,1,282.8234777334992,2.2358236485567886,813.7171806100323,0.7525773195876289,1.0,0.5437902587863035,1.0,0.0,0.6906305139305139,0.45620974121369645,8849.0,4812.0,4037.0,1.0
max_elev,Max-Elev,2,286.01363956372546,2.2451819851156904,818.3281217166942,0.7156862745098039,1.0,0.5433070866141733,0.9996577686516085,0.00034223134839151266,0.6927661685536685,0.4566929133858268,8763.0,4761.0,4002.0,1.0
max_elev,Max-Elev,3,253.92399910369255,2.2382742152367365,804.6116779850616,0.7849462365591398,1.0,0.5310842829741622,0.9998871841155235,0.0001128158844765343,0.6908110389610403,0.46891571702583773,8863.0,4707.0,4156.0,1.0
max_elev,Max-Elev,4,283.34335601244345,2.238542128487842,828.4489794613668,0.7934782608695652,1.0,0.542407660738714,0.9998860139063034,0.00011398609369656902,0.6927338300588308,0.4575923392612859,8772.0,4758.0,4014.0,1.0
max_elev,Max-Elev,5,280.32024703068237,2.2419615711761876,830.7934142379374,0.7448979591836735,1.0,0.54181654676259,1.0,0.0,0.6898545954045955,0.45818345323741005,8896.0,4820.0,4076.0,1.0
min_distance,Min-Distance,1,282.8234777334992,2.2358236485567886,813.7171806100323,0.7525773195876289,1.0,0.5437902587863035,1.0,0.0,0.6906305139305139,0.45620974121369645,8849.0,4812.0,4037.0,1.0
min_distance,Min-Distance,2,286.01363956372546,2.2451819851156904,818.3281217166942,0.7156862745098039,1.0,0.5433070866141733,0.9996577686516085,0.00034223134839151266,0.6927661685536685,0.4566929133858268,8763.0,4761.0,4002.0,1.0
min_distance,Min-Distance,3,253.92399910369255,2.2382742152367365,804.6116779850616,0.7849462365591398,1.0,0.5310842829741622,0.9998871841155235,0.0001128158844765343,0.6908110389610403,0.46891571702583773,8863.0,4707.0,4156.0,1.0
min_distance,Min-Distance,4,283.34335601244345,2.238542128487842,828.4489794613668,0.7934782608695652,1.0,0.542407660738714,0.9998860139063034,0.00011398609369656902,0.6927338300588308,0.4575923392612859,8772.0,4758.0,4014.0,1.0
min_distance,Min-Distance,5,280.32024703068237,2.2419615711761876,830.7934142379374,0.7448979591836735,1.0,0.54181654676259,1.0,0.0,0.6898545954045955,0.45818345323741005,8896.0,4820.0,4076.0,1.0
stay,Stay,1,262.3938541184808,2.188010814056826,737.0487521028114,0.8461538461538461,1.0,0.5513993898395012,0.999867374005305,0.0001326259946949602,0.6555541139416129,0.44860061016049874,7539.0,4157.0,3382.0,1.0
stay,Stay,2,271.9023417191597,2.1884414199181523,754.9579239576657,0.873015873015873,1.0,0.5563002680965148,0.9995980168832909,0.00040198311670909824,0.6554741092241082,0.4436997319034853,7460.0,4150.0,3310.0,1.0
stay,Stay,3,248.0565125803473,2.1830533918114146,734.3549311043936,0.7857142857142857,1.0,0.5447218919275995,0.9997358341038172,0.0002641658961828028,0.653333091908091,0.4552781080724006,7569.0,4123.0,3446.0,1.0
stay,Stay,4,258.5713800495248,2.1972964851575023,750.3445764935221,0.8461538461538461,1.0,0.54968654128318,0.9996,0.0004,0.6554986041736032,0.45031345871682005,7497.0,4121.0,3376.0,1.0
stay,Stay,5,259.8262228353277,2.191764985517045,755.5470011975247,0.9016393442622951,1.0,0.5510312004230565,1.0,0.0,0.6548974969474957,0.4489687995769434,7564.0,4168.0,3396.0,1.0
random,Random,1,239.4947384976348,2.1650384979936033,717.5711774960523,0.7912600397270921,0.9993095710710279,0.5549372146118722,0.9994295493439818,0.0005704506560182544,0.4989824146891653,0.4450627853881279,7008.0,3889.0,3119.0,1.0
random,Random,2,247.77506179582596,2.1721383505492797,738.3886612635623,0.7946451557538832,0.9991425876704108,0.5561902041982008,0.9991439577685832,0.0008560422314167499,0.5137946043842839,0.44380979580179925,7003.0,3895.0,3108.0,1.0
random,Random,3,226.57410912523176,2.1590207540485955,713.4538229802562,0.7948717948717948,0.9988826815642458,0.5461462589826688,0.9990146396396397,0.0009853603603603603,0.5185490734352164,0.4538537410173313,7097.0,3876.0,3221.0,1.0
random,Random,4,227.56557810827428,2.1671460541306256,720.5694293745848,0.7856590811507085,0.9989705756197993,0.5507163323782235,0.9984265484193964,0.0015734515806036333,0.5155190317992919,0.4492836676217765,6980.0,3844.0,3136.0,1.0
random,Random,5,232.9017281191152,2.1616398987694656,732.9683484776217,0.7900206114737204,0.9993134225883968,0.553932101418135,0.9995704467353952,0.000429553264604811,0.5152403022201802,0.4460678985818651,6981.0,3867.0,3114.0,1.0
max_rvt,Max-RVT,1,307.32801800665067,2.1695814327304115,985.7727471899229,0.7346938775510204,1.0,0.5521660240417329,1.0,0.0,0.4261613587827408,0.4478339759582672,8818.0,4869.0,3949.0,1.0
max_rvt,Max-RVT,2,315.67085087116413,2.1739434367793216,994.361235276878,0.782608695652174,1.0,0.5551617697496285,0.9998856881572931,0.00011431184270690443,0.426639802865614,0.44483823025037156,8747.0,4856.0,3891.0,1.0
max_rvt,Max-RVT,3,282.24045703974275,2.172218517411876,973.0042296718066,0.7686832740213523,1.0,0.5413839891451832,0.9998869417750141,0.00011305822498586772,0.42878630260395056,0.45861601085481685,8844.0,4788.0,4056.0,1.0
max_rvt,Max-RVT,4,309.1470114025474,2.1676434630530763,998.2100388064196,0.738831615120275,1.0,0.5517004465819306,1.0,0.0,0.42590293021636155,0.4482995534180694,8733.0,4818.0,3915.0,1.0
max_rvt,Max-RVT,5,309.2171234326713,2.1727835540954654,1014.0297890769037,0.8150943396226416,1.0,0.5516930022573363,0.9997743173098623,0.00022568269013766644,0.4246004082331276,0.44830699774266364,8860.0,4888.0,3972.0,1.0
joint_greedy,Joint Greedy,1,327.2407649658071,3.7756034664793887,3700.701037291537,0.8091603053435115,1.0,0.6079031230082855,0.99987254652052,0.0001274534794799898,0.7098260726291444,0.39209687699171447,7845.0,4769.0,3076.0,
joint_greedy,Joint Greedy,2,296.12731265938436,3.9150323243484517,3912.5696509441195,0.8395061728395061,1.0,0.5950237559389847,0.99975,0.00025,0.5954421459398159,0.40497624406101523,7998.0,4759.0,3239.0,
joint_greedy,Joint Greedy,3,341.6455305771885,3.7406367895609045,3799.070496139561,0.7938931297709924,1.0,0.6116373477672531,0.9997540277948592,0.0002459722051408191,0.5905477942592237,0.38836265223274696,8129.0,4972.0,3157.0,
joint_greedy,Joint Greedy,4,325.5795771461481,3.852963904527923,3868.0628011610997,0.8515625,1.0,0.6043819245611851,0.9998755290017426,0.00012447099825740602,0.5956081117195413,0.3956180754388149,8033.0,4855.0,3178.0,
joint_greedy,Joint Greedy,5,331.02744330767234,3.8216849699803648,3808.883700792223,0.8314606741573034,1.0,0.6098508585035719,1.0,0.0,0.6798242182795445,0.3901491414964281,7979.0,4866.0,3113.0,
threshold_rvt_adaptive,Threshold-RVT Adaptive,1,380.42625218336025,3.745153451368621,4145.686337890667,0.8607594936708861,1.0,0.6110671936758894,1.0,0.0,0.623792460317461,0.38893280632411065,8855.0,5411.0,3444.0,
threshold_rvt_adaptive,Threshold-RVT Adaptive,2,337.84659214322403,3.883347619489831,4253.677418475664,0.7472527472527473,1.0,0.5995893223819302,1.0,0.0,0.621740873015874,0.4004106776180698,8766.0,5256.0,3510.0,
threshold_rvt_adaptive,Threshold-RVT Adaptive,3,376.21308984296684,3.730955075814232,4138.673625751064,0.8831168831168831,1.0,0.6110172355525515,1.0,0.0,0.6211742063492071,0.38898276444744845,8877.0,5424.0,3453.0,
threshold_rvt_adaptive,Threshold-RVT Adaptive,4,358.38379304271473,3.852463248198651,4226.943484973048,0.8095238095238095,1.0,0.6061261671601003,0.9998861436866674,0.00011385631333257428,0.6221087301587307,0.3938738328398998,8782.0,5323.0,3459.0,
threshold_rvt_adaptive,Threshold-RVT Adaptive,5,367.8589494148048,3.8219142545332687,4250.037903516095,0.8717948717948718,1.0,0.6092625899280576,1.0,0.0,0.6222793650793658,0.39073741007194246,8896.0,5420.0,3476.0,
