method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_resolution_rate,pending_task_rate,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,selected_offload
han_mappo_latency_priority,HAN+MAPPO,1,423.02534057678974,2.1775484725539354,1438.228849118207,0.8095238095238095,0.19047619047619047,0.0,0.98013,0.98265,0.5513385293120976,1.0,0.0,0.6161767205017202,0.4486614706879024,8853.0,4881.0,3972.0,
han_mappo_latency_priority,HAN+MAPPO,2,425.33443185449704,2.1859403653708442,1465.3663127301627,0.7472527472527473,0.25274725274725274,0.0,0.9795699999999999,0.9823,0.553388090349076,1.0,0.0,0.6134913614163602,0.446611909650924,8766.0,4851.0,3915.0,
han_mappo_latency_priority,HAN+MAPPO,3,405.06598420348575,2.17800780828358,1428.6568947792425,0.8717948717948718,0.1282051282051282,0.0,0.98061,0.98295,0.5422487607030194,1.0,0.0,0.6113480963480962,0.45775123929698064,8876.0,4813.0,4063.0,
han_mappo_latency_priority,HAN+MAPPO,4,421.2117092960055,2.1859148495286544,1464.8258858667057,0.8,0.2,0.0,0.98005,0.9826,0.5503928937478647,0.9998861307219312,0.00011386927806877705,0.6146318514818504,0.4496071062521353,8781.0,4833.0,3948.0,
han_mappo_latency_priority,HAN+MAPPO,5,424.0786338301349,2.181785961010322,1478.1680473837857,0.8607594936708861,0.13924050632911392,0.0,0.98053,0.9829,0.5507588532883643,1.0,0.0,0.6146927183927181,0.44924114671163573,8895.0,4899.0,3996.0,
han_mappo_latency_priority,HAN+MAPPO,6,430.4524234524656,2.1886640861494966,1457.4310456522726,0.8414634146341463,0.15853658536585366,0.0,0.98034,0.9828,0.5640790078089113,1.0,0.0,0.604862122781338,0.43592099219108865,8708.0,4912.0,3796.0,
han_mappo_latency_priority,HAN+MAPPO,7,421.27920431734617,2.181620591182016,1449.1375276257288,0.85,0.15,0.0,0.9804499999999999,0.98285,0.5497830554921215,0.9998858317159494,0.00011416828405069072,0.6130493672993669,0.4502169445078785,8758.0,4815.0,3943.0,
han_mappo_latency_priority,HAN+MAPPO,8,415.097412933986,2.194341101417184,1494.3889032344587,0.8,0.2,0.0,0.98005,0.9826,0.5515962230215827,0.9998876025626616,0.00011239743733842868,0.6133073287823282,0.44840377697841727,8896.0,4907.0,3989.0,
han_mappo_latency_priority,HAN+MAPPO,9,423.60992515950863,2.1781784946634226,1427.8607952093432,0.9066666666666666,0.09333333333333334,0.0,0.98085,0.9831,0.5523189399131826,0.9998857795545403,0.0001142204454597373,0.6131391580641573,0.44768106008681746,8754.0,4835.0,3919.0,
han_mappo_latency_priority,HAN+MAPPO,10,412.7385196384994,2.185045977853372,1450.2689026223325,0.8717948717948718,0.1282051282051282,0.0,0.98061,0.98295,0.5443753533069531,0.9997739346671188,0.00022606533288120268,0.6132842657342658,0.4556246466930469,8845.0,4815.0,4030.0,
