method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_resolution_rate,pending_task_rate,effective_latency_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,selected_offload
han_mappo_latency_priority,HAN+MAPPO,1,409.3163952921937,2.218408727627694,1303.5873121999673,0.797979797979798,0.20202020202020202,0.0,0.97888,0.98185,0.5425461008664741,0.9997778764993336,0.0002221235006663705,0.1649789088742775,0.6123624486624484,0.45735228787205684,9002.0,4884.0,4118.0,
han_mappo_latency_priority,HAN+MAPPO,2,410.81410651495946,2.2414582024239436,1341.9063981324084,0.8191489361702128,0.18085106382978725,0.0,0.97878,0.9816,0.5409276192574639,0.9997797114219628,0.00022028857803722878,0.1633007339671564,0.6125983460983454,0.4589712523405661,9077.0,4910.0,4167.0,
han_mappo_latency_priority,HAN+MAPPO,3,385.80688510600385,2.219044143827311,1285.8381642546394,0.7653061224489796,0.23469387755102042,0.0,0.9790599999999999,0.982,0.5303400755723494,0.999888876541838,0.00011112345816201801,0.16128298713265812,0.6128121239871241,0.4696077341926881,8998.0,4772.0,4226.0,
han_mappo_latency_priority,HAN+MAPPO,4,402.74926335559866,2.2317051238722647,1315.0482892531588,0.8765432098765432,0.12345679012345678,0.0,0.97982,0.98225,0.5394736842105263,0.9998875520071967,0.00011244799280332846,0.16354452106411915,0.614954359529359,0.46047453052963006,8892.0,4797.0,4095.0,
han_mappo_latency_priority,HAN+MAPPO,5,407.1342540022888,2.2302187754878404,1335.880316319283,0.8333333333333334,0.16666666666666666,0.0,0.97915,0.98185,0.5406391684175605,1.0,0.0,0.16387956313457663,0.6133480325230315,0.45936083158243946,9043.0,4889.0,4154.0,
han_mappo_latency_priority,HAN+MAPPO,6,418.796567242207,2.233193019943376,1327.4833195807364,0.78,0.22,0.0,0.9792,0.9822,0.5511116076416043,1.0,0.0,0.16690883682908297,0.6130381673881673,0.4488883923583957,8951.0,4933.0,4018.0,
han_mappo_latency_priority,HAN+MAPPO,7,408.7213942014825,2.2298172861973553,1326.5950739582422,0.8297872340425532,0.1702127659574468,0.0,0.97943,0.98225,0.5390503660971822,0.9997781721384206,0.00022182786157941438,0.16342874428800022,0.6132857781107771,0.46084738243123335,9014.0,4859.0,4155.0,
han_mappo_latency_priority,HAN+MAPPO,8,396.75160378048906,2.2249138594174958,1344.8457699605888,0.7872340425531915,0.2127659574468085,0.0,0.9792299999999999,0.98205,0.5394868377207598,0.9996668887408394,0.00033311125916055963,0.16375808549990528,0.6144313075813067,0.4603597601598934,9003.0,4857.0,4146.0,
han_mappo_latency_priority,HAN+MAPPO,9,404.19685149662286,2.2162838131156493,1282.3262689498417,0.8111111111111111,0.18888888888888888,0.0,0.9796,0.9823,0.542611060743427,0.9996601336807522,0.00033986631924776253,0.16520965587178618,0.6144235847485838,0.4572334881613232,8824.0,4788.0,4036.0,
han_mappo_latency_priority,HAN+MAPPO,10,396.02841047475573,2.2248224953318507,1313.7368903064817,0.7757009345794392,0.22429906542056074,0.0,0.97849,0.9817,0.5344500279173646,0.9997767109523278,0.0002232890476722117,0.16212899738553754,0.6127968808968808,0.46544601987272527,8955.0,4786.0,4169.0,
