method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,effective_latency_score,avg_load_balance_score,energy_per_resolved_task,reward_delay,reward_energy,reward_qos,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_mappo_latency_priority_1200k,HAN+MAPPO,True,5,63.304113054436925,3.025575862304007,2.4903111717405393,12143.58313609112,0.7527957574773667,0.24720424252263323,0.0004414771552730194,0.5414880000000005,0.8606449999999999,0.8133589417914605,0.8128343194776461,0.186520656933027,0.999354976410673,0.999354976410673,0.0006450235893269553,0.186520656933027,0.1261052502063986,0.39406817742381983,0.8716574647629216,1136.253593918174,1860.261978097033,2619.360000000127,-137.55359999999945,997.118590157504,-4.3707944906374845,124.8006666666652,-194.35224299538595,-426.4200000000104,-60.0,-8.0,-1542.1799999998577,-481.4369999998083,effective_latency_score,0.1261052502063986,0,,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_20260517_225631/training_history.json,checkpoint_eval
min_distance,Min-Distance,False,5,347.13701149385867,2.2382396681688204,2.1078548250157745,28829.261185768693,0.7980603948305183,0.20193960516948167,0.0,0.9880420000000001,0.99079,0.9367353425037365,0.9365876894888437,0.0632545681282901,0.9998422576171337,0.9998422576171337,0.00015774238286620718,0.0632545681282901,0.2977709770906164,0.59211095897996,2.068333609723404,1793.4928806297517,1642.0310822134666,3652.440000000754,-3.5873999999999926,8.631974278598339,-0.0908849777673307,0.0,-58.50263722107077,0.0,0.0,-8.0,-11.220000000000006,-4.373999999999992,effective_latency_score,0.2977709770906164,3,Average Delay | Task Success | Deadline Violation,0.0,min_distance(best_offload=0.00),,heuristic_eval
mappo_no_han,MAPPO (no HAN),False,5,292.97124275791896,2.255079462324257,2.22107293642294,16514.912621632313,0.800100471629745,0.19989952837025507,0.0,0.9882919999999998,0.99086,0.8909713450126382,0.8908307442637353,0.1090115133533985,0.9998422576171337,0.9998422576171337,0.00015774238286620718,0.1090115133533985,0.27332610177319944,0.4878557002345391,1.1848499556356764,1315.0923277319343,1826.686310675515,3269.7600000005223,-3.5123999999999915,8.773268407111647,-0.11349455244057478,122.02866666666459,-80.21785529230213,-506.9400000000128,0.0,-8.0,-10.380000000000004,-4.097999999999989,effective_latency_score,0.27332610177319944,2,Service Continuity | Service Availability,,,/home/pjpjq/LEO_switch/results/baseline_compare/20260517_225631_all_methods_1200k/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_train_eval
joint_greedy,Joint Greedy,False,5,301.8766153702272,2.483745527185166,2.236028799804303,27325.25210451986,0.8408149783174668,0.15918502168253337,0.00921137744825544,0.939057,0.94131,0.8895478479723593,0.8893051142071648,0.11042197758492264,0.9997270917920875,0.9997270917920875,0.00027290820791245335,0.11042197758492264,0.2580846090423216,0.403194870842984,1.9606546771511295,1702.5611520514517,1560.4612184322007,3257.4000000005144,-18.28290000000044,8.09948452142776,-0.025702328171072774,0.3559999999999999,-109.05183571430466,0.0,-0.7,-5.6,-6.839999999999999,-3.7799999999999896,effective_latency_score,0.2580846090423216,0,,,,,heuristic_eval
han_pdqn,HAN+PDQN,False,5,285.6544302570843,2.157954571007196,2.276091790158244,16309.37700136795,0.7704016897081413,0.22959831029185868,0.00019821605550049553,0.9580190000000002,0.9726950000000001,0.8785636250392587,0.8783749719305934,0.1214101225929276,0.999785094523521,0.999785094523521,0.00021490547647897126,0.1214101225929276,0.2568698737301018,0.3702430922104737,1.1701711199466156,1316.3811257333932,1804.029344979484,3165.7200000004586,-12.594300000000072,47.72957789058952,-0.22194268369956133,116.81333333333173,-96.69526542736563,-288.9600000000052,-0.2,-7.8,-66.71999999999971,-22.69800000000011,effective_latency_score,0.2568698737301018,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/20260517_225631_all_methods_1200k/learned_baselines/han_pdqn/training_history.json,han_pdqn_train_eval
full_local,Full-Local,False,5,280.30605673785504,2.7359467040749768,2.2942839227991176,26728.40220251801,0.8444530644670897,0.1555469355329103,0.0,0.9152350000000002,0.9174249999999999,0.8674117112362424,0.8672001459755121,0.13255580423437432,0.9997559502098865,0.9997559502098865,0.00024404979011356977,0.13255580423437432,0.2409367181449452,0.5262199682137572,1.917774172898287,1659.6604615796623,1519.9439669622286,3072.4800000004025,-25.429500000000576,7.969858292067646,-0.04725480616734486,0.0,-133.21588771262722,0.0,0.0,-2.0,-6.9,-3.6899999999999906,effective_latency_score,0.2409367181449452,0,,,,,heuristic_eval
maddpg,MADDPG,False,5,280.30605673785504,2.7359467040749768,2.2942839227991176,26728.40220251801,0.8444530644670897,0.1555469355329103,0.0,0.9152350000000002,0.9174249999999999,0.8674117112362424,0.8672001459755121,0.13255580423437432,0.9997559502098865,0.9997559502098865,0.00024404979011356977,0.13255580423437432,0.2409367181449452,0.5262199682137572,1.917774172898287,1659.6604615796623,1519.9439669622286,3072.4800000004025,-25.429500000000576,7.969858292067646,-0.04725480616734486,0.0,-133.21588771262722,0.0,0.0,-2.0,-6.9,-3.6899999999999906,effective_latency_score,0.2409367181449452,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/20260517_225631_all_methods_1200k/learned_baselines/maddpg/training_history.json,maddpg_train_eval
han_maddpg,HAN+MADDPG,False,5,280.30605673785504,2.7359467040749768,2.2942839227991176,26728.40220251801,0.8444530644670897,0.1555469355329103,0.0,0.9152350000000002,0.9174249999999999,0.8674117112362424,0.8672001459755121,0.13255580423437432,0.9997559502098865,0.9997559502098865,0.00024404979011356977,0.13255580423437432,0.2409367181449452,0.5262199682137572,1.917774172898287,1659.6604615796623,1519.9439669622286,3072.4800000004025,-25.429500000000576,7.969858292067646,-0.04725480616734486,0.0,-133.21588771262722,0.0,0.0,-2.0,-6.9,-3.6899999999999906,effective_latency_score,0.2409367181449452,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/20260517_225631_all_methods_1200k/learned_baselines/han_maddpg/training_history.json,han_maddpg_train_eval
pdqn,PDQN,False,5,236.40541893691247,4.315843564344879,2.380273653755057,17747.70716436982,0.7675520714787741,0.2324479285212258,0.0018025324579722037,0.880421000000001,0.9419450000000001,0.8527188753528954,0.8523275186194347,0.14721362897301876,0.9995411475924534,0.9995411475924534,0.000458852407546508,0.14721362897301876,0.22200779929624131,0.26126677416068733,1.2736796633010734,1200.0237858408505,1751.5243925344523,2949.060000000328,-35.873700000000774,196.9024281699833,-0.5234783174215087,136.48933333333113,-126.50607264306487,-266.58000000000436,-10.3,-5.8,-279.84000000000486,-94.48900000000279,effective_latency_score,0.22200779929624131,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/20260517_225631_all_methods_1200k/learned_baselines/pdqn/training_history.json,pdqn_train_eval
random,Random,False,5,71.59219941758178,5.3459451539265785,2.5620577680021515,28031.84333082856,0.804232492664201,0.19576750733579898,0.0009672246898958396,0.4510010000000001,0.801215,0.8231636349787484,0.8223961596320247,0.17667188935206818,0.999068048984093,0.999068048984093,0.000931951015907087,0.17667188935206818,0.10413459420227925,0.29066679405051443,2.012682969846101,1436.8028101870168,1555.5623500375702,2700.7200000001767,-164.6996999999999,1174.453725793791,-3.067856015551378,0.0,-185.58993676770544,0.0,-24.6,-5.4,-1356.359999999886,-563.3159999997295,effective_latency_score,0.10413459420227925,0,,0.0,random(best_offload=0.00),,heuristic_eval
