method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,effective_latency_score,avg_load_balance_score,energy_per_resolved_task,handover_action_rate,local_compute_rate,mean_offload_ratio,reward_delay,reward_energy,reward_qos,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_mappo_latency_priority,HAN+MAPPO,True,5,86.58474485129794,1.1469011822674775,2.213074436568926,4827.799660239866,0.7863538611925709,0.21364613880742916,0.0,0.9838433333333333,0.9865833333333335,0.8859403938563055,0.8859403938563055,0.11405960614369444,1.0,1.0,0.0,0.11405960614369444,0.2713043860275424,0.5474301169708256,1.1507912996376493,0.0016166666666666666,0.0,0.5277336835861206,398.0170845346116,549.363005096402,971.3999999999439,-1.4540999999999973,2.709809136367515,-0.014076070190690158,36.121999999999886,-25.98235503003903,-160.44000000000034,0.0,-3.0,-3.539999999999999,-1.290000000000001,effective_latency_score,0.2713043860275424,0,,,,results\full_train_latency_priority_20260525_220324\training_history.json,checkpoint_eval
min_distance,Min-Distance,False,5,103.0192964657595,1.3738513740385592,2.126713701153799,8682.865365002224,0.796732903800233,0.20326709619976704,0.0,0.9838166666666666,0.9866166666666667,0.9319761811862678,0.9319761811862678,0.06802381881373228,1.0,1.0,0.0,0.06802381881373228,0.29330514879143676,0.5753263641460031,2.0697142841824525,0.004666666666666667,1.0,0.0,535.6281866756078,491.5670195249665,1087.3199999999265,-1.456499999999998,2.6287580843889957,-0.0063787651213735655,0.0,-19.86365620465167,0.0,0.0,-3.0,-3.4199999999999995,-1.3380000000000007,effective_latency_score,0.29330514879143676,3,Average Delay | Task Success | Deadline Violation,0.0,min_distance(best_offload=0.00),,heuristic_eval
maddpg,MADDPG,False,5,102.96815382374514,1.4861261429975996,2.129199254106816,8493.066858959766,0.8169387871202641,0.18306121287973603,0.0,0.9844533333333333,0.9868333333333335,0.9307440961986689,0.9307440961986689,0.0692559038013311,1.0,1.0,0.0,0.0692559038013311,0.29288061189129144,0.5496341107514268,2.024472458752805,0.0009666666666666667,0.97885,0.0211486853659153,532.0855604891806,494.3839971156035,1084.1999999999273,-1.3991999999999971,2.464326378115268,-5.2474669360633164e-05,1.33533333333333,-20.227385514059797,0.0,0.0,-3.0,-2.6399999999999997,-1.1640000000000008,effective_latency_score,0.29288061189129144,2,Service Continuity | Service Availability,,,results\baseline_compare\20260525_220324\learned_baselines\maddpg\training_history.json,checkpoint_eval
pdqn,PDQN,False,5,97.26846555065748,2.177145566690376,2.1464962686516738,8497.230397784424,0.875312442200593,0.12468755779940692,0.0009834949977762801,0.9287366666666663,0.9756666666666666,0.9266859247484831,0.9265554552642019,0.07330229722512951,0.9998577524893314,0.9998577524893314,0.0001422475106685633,0.07330229722512951,0.27359412650517373,0.25375913522869914,2.0257546363859302,0.07615,0.9792833333333333,0.02071666717529297,527.618342484718,492.8515440332336,1073.8199999999288,-6.413700000000008,60.89597727517234,-0.046459731547386786,1.3286666666666664,-20.923505214981027,0.0,-1.5,-2.0,-33.66000000000001,-24.70200000000018,effective_latency_score,0.27359412650517373,0,,,,results\baseline_compare\20260525_220324\learned_baselines\pdqn\training_history.json,checkpoint_eval
mappo_no_han,MAPPO (no HAN),False,5,85.8625866990784,1.102696221476362,2.2235487468474147,4370.796024975278,0.7690984184030005,0.2309015815969994,0.0,0.98336,0.9859000000000002,0.8850701459388036,0.8849873706637782,0.11491779766244284,0.9999051683262209,0.9999051683262209,9.48316737790422e-05,0.11491779766244284,0.2699976226581967,0.5482894103509405,1.041955760697835,0.0005333333333333334,0.0,0.5975369215011597,396.87883799148074,555.9480596253704,969.1199999999444,-1.4975999999999974,2.478056309601794,-0.0006365086261806539,35.002666666666656,-26.322430579328994,-175.68000000000094,0.0,-3.0,-3.539999999999999,-1.1710000000000007,effective_latency_score,0.2699976226581967,0,,,,results\baseline_compare\20260525_220324\learned_baselines\mappo_no_han\training_history.json,
joint_greedy,Joint Greedy,False,5,89.72575961605801,3.237548562084428,2.243501649607689,8230.982918773047,0.8080709998432607,0.1919290001567393,0.0,0.9353400000000001,0.9376000000000001,0.8859945710307207,0.8856576491216293,0.11396155321231953,0.9996192023339487,0.9996192023339487,0.0003807976660512142,0.11396155321231953,0.2555072186873061,0.37793400967560375,1.9627486929542746,0.00046666666666666666,0.9540333333333333,0.04545833170413971,509.49261920049577,467.08525621840437,971.279999999944,-5.819399999999969,2.3094877090301784,-0.035886139119090645,0.06999999999999999,-33.6735413679048,0.0,0.0,-2.8,-2.6399999999999997,-1.0920000000000007,effective_latency_score,0.2555072186873061,0,,,,,heuristic_eval
han_pdqn,HAN+PDQN,False,5,87.48233010756242,2.3273630338321096,2.1702017202665655,8618.262296172825,0.8422231044055228,0.157776895594477,0.0005076627710919214,0.84558,0.9581500000000001,0.925594144936013,0.9255499576557401,0.07440261526339677,0.9999525729191369,0.9999525729191369,4.742708086317287e-05,0.07440261526339677,0.24695750668055344,0.24306166623234385,2.0544129430686113,0.18635,0.99525,0.004370809067040682,522.1706807682763,491.5760655574075,1071.179999999929,-13.8978,130.38361794796822,-0.12447243602559559,0.18666666666666668,-21.295386390334773,0.0,-2.7,-2.6,-104.09999999999937,-56.97000000000139,effective_latency_score,0.24695750668055344,0,,,,results\baseline_compare\20260525_220324\learned_baselines\han_pdqn\training_history.json,
full_local,Full-Local,False,5,84.27558412976802,4.328735776117462,2.2935910764270333,8054.428237266178,0.8150542005420054,0.18494579945799458,0.0,0.91571,0.9178499999999999,0.8676298010515282,0.8669259308877623,0.13226390270210148,0.9991898335898636,0.9991898335898636,0.0008101664101363558,0.13226390270210148,0.24119583738489547,0.5816028506122929,1.921472455094751,0.0,1.0,0.0,498.5193796289517,456.8035764410076,924.5399999999511,-7.586099999999997,2.2385565097714397,-0.005746401517299346,0.0,-39.86247123057173,0.0,0.0,-2.6,-2.3999999999999995,-1.0440000000000007,effective_latency_score,0.24119583738489547,0,,,,,heuristic_eval
random,Random,False,5,21.826891215407016,1.5911477061957449,2.5678835365180714,8456.35231462912,0.8086386960690135,0.1913613039309866,0.000935916955688643,0.45047,0.80395,0.8221418333985613,0.8212004223709928,0.177653341972714,0.9988537643437067,0.9988537643437067,0.0011462356562932925,0.177653341972714,0.10368183772527599,0.2909221721875436,2.018029857442994,0.5883666666666667,1.0,0.0,429.9528594512747,466.1947152805632,809.9999999999685,-49.45770000000025,360.9049519091708,-0.9084911106100136,0.0,-56.40179870140308,0.0,-9.1,-1.8,-400.3800000000095,-171.50400000000573,effective_latency_score,0.10368183772527599,0,,0.0,random(best_offload=0.00),,heuristic_eval
han_maddpg,HAN+MADDPG,False,5,-4.57600340791671,1.6156252421105184,2.516343671937124,8621.923688310231,0.8011149473897227,0.19888505261027717,0.0001516553345527161,0.19925666666666825,0.7913666666666666,0.8513588847276955,0.8510756945245366,0.14859093489027528,0.999666629414812,0.999666629414812,0.0003333705851880413,0.14859093489027528,0.04823224848472632,0.3149911844026082,2.0558738347823526,0.9878166666666667,1.0,3.7946588146015037e-13,432.6259365645944,481.71114467534653,884.0999999999573,-72.0668999999995,590.2476352243959,-1.1497758543950751,0.0,-43.705008768275356,0.0,-1.5,-1.2,-706.3199999999842,-284.89199999998266,effective_latency_score,0.04823224848472632,0,,,,results\baseline_compare\20260525_220324\learned_baselines\han_maddpg\training_history.json,
