method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,effective_latency_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,reward_delay,reward_energy,reward_qos,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
han_mappo_latency_priority,HAN+MAPPO,1,87.14753353357506,2.2034574850013993,4707.936315182731,0.7818181818181819,0.21818181818181817,0.0,0.9838333333333333,0.9865833333333334,0.8788238083945933,0.8788238083945933,0.12117619160540669,1.0,1.0,0.0,0.269900930751753,0.546992976923318,0.12117619160540669,4217.0,3706.0,511.0,399.18737184060814,555.6309552722602,958.499999999946,-1.4549999999999965,2.702923441234429,0.0030970447045961746,37.13333333333313,-28.160690450191588,-142.4999999999997,0.0,-3.0,-3.599999999999999,-1.290000000000001,
han_mappo_latency_priority,HAN+MAPPO,2,87.74727700361997,2.2210240280230713,5000.406083533049,0.8333333333333334,0.16666666666666666,0.0,0.9852666666666666,0.9876666666666667,0.8934348239771646,0.8934348239771646,0.1065651760228354,1.0,1.0,0.0,0.27328934625929335,0.6117328995107628,0.1065651760228354,4204.0,3756.0,448.0,403.3453682477724,547.3439087470035,992.3999999999409,-1.3259999999999972,2.554390851080517,-0.025422060052091015,35.60666666666648,-22.692574016497083,-167.70000000000064,0.0,-3.0,-2.4,-1.2000000000000008,
han_mappo_latency_priority,HAN+MAPPO,3,87.09456468159253,2.1930647264844425,4920.985712459067,0.7090909090909091,0.2909090909090909,0.0,0.9882500000000001,0.991,0.8948370211753509,0.8948370211753509,0.10516297882464906,1.0,1.0,0.0,0.27695106799484703,0.5754638012486307,0.10516297882464906,4203.0,3761.0,442.0,403.0162783885108,551.6852143131136,995.6999999999404,-1.0574999999999977,2.4703234482014387,-0.07500237894200741,34.64999999999999,-23.6415321593457,-190.2000000000015,0.0,-2.0,-4.799999999999999,-1.1700000000000008,
han_mappo_latency_priority,HAN+MAPPO,4,86.50420304981307,2.209432623894732,4758.266068660348,0.7741935483870968,0.22580645161290322,0.0,0.9870666666666666,0.9901666666666666,0.8889695210449927,0.8889695210449927,0.11103047895500726,1.0,1.0,0.0,0.27340414482398706,0.48915238334936495,0.11103047895500726,4134.0,3675.0,459.0,394.53199428592075,543.4760089700948,964.799999999945,-1.163999999999998,2.9979146045781264,0.06801896774722867,36.1999999999999,-25.99676397382063,-152.70000000000007,0.0,-3.0,-4.199999999999999,-1.440000000000001,
han_mappo_latency_priority,HAN+MAPPO,5,84.43014598788903,2.2383933194409846,4751.404121364138,0.8333333333333334,0.16666666666666666,0.0,0.9748,0.9775,0.8736367946894262,0.8736367946894262,0.12636320531057374,1.0,1.0,0.0,0.26297644030783157,0.5138085238220516,0.12636320531057374,4218.0,3685.0,533.0,390.00440991024607,548.6789381795378,945.599999999948,-2.267999999999997,2.823493336743063,-0.0410719244111772,37.01999999999994,-29.42021455034016,-149.09999999999994,0.0,-4.0,-2.6999999999999997,-1.350000000000001,
min_distance,Min-Distance,1,104.93876097422886,2.0900849674746658,8595.888307840662,0.8032786885245902,0.19672131147540983,0.0,0.9835333333333334,0.9865833333333334,0.9383447948778753,0.9383447948778753,0.06165520512212473,1.0,1.0,0.0,0.29866278553383696,0.5393541372771254,0.06165520512212473,4217.0,3957.0,260.0,544.2695810196412,497.4616753823905,1109.0999999999233,-1.4819999999999969,2.882819829863698,0.023837145396742913,0.0,-17.25269389271639,0.0,0.0,-3.0,-3.599999999999999,-1.470000000000001,0.0
min_distance,Min-Distance,2,102.05279316177776,2.194840047903773,8978.107561387467,0.8,0.2,0.0,0.985,0.9875,0.9281636536631779,0.9281636536631779,0.07183634633682208,1.0,1.0,0.0,0.28616180627198856,0.6116275783613241,0.07183634633682208,4204.0,3902.0,302.0,526.1807858802969,487.6783865791887,1079.9999999999277,-1.3499999999999983,2.361199825435109,-0.00033281046438941864,0.0,-20.96417623890014,0.0,0.0,-3.0,-2.9999999999999996,-1.2000000000000008,0.0
min_distance,Min-Distance,3,104.37023923974104,2.101626627799957,8675.13671664322,0.7068965517241379,0.29310344827586204,0.0,0.9880166666666667,0.9909166666666667,0.9355222460147513,0.9355222460147513,0.06447775398524863,1.0,1.0,0.0,0.2980086522392412,0.6110745890533036,0.06447775398524863,4203.0,3932.0,271.0,539.9220657747599,495.37294925035206,1098.299999999925,-1.0784999999999973,2.425888428655605,-0.034035347607329035,0.0,-18.682083311337216,0.0,0.0,-2.0,-5.099999999999999,-1.2300000000000009,0.0
min_distance,Min-Distance,4,102.27955328543203,2.1157486579447897,8577.504951943762,0.7962962962962963,0.2037037037037037,0.0,0.9877166666666667,0.9904166666666667,0.9334784712143203,0.9334784712143203,0.06652152878567973,1.0,1.0,0.0,0.2959199682689046,0.5680338382807432,0.06652152878567973,4134.0,3859.0,275.0,529.9161640814494,486.1874257208415,1075.1999999999284,-1.1054999999999988,2.547689734587936,-0.029160053482808902,0.0,-18.531053774756103,0.0,0.0,-3.0,-3.2999999999999994,-1.290000000000001,0.0
min_distance,Min-Distance,5,101.45513566761785,2.131268204645808,8587.689287196015,0.8771929824561403,0.12280701754385964,0.0,0.9748166666666667,0.9776666666666667,0.9243717401612138,0.9243717401612138,0.07562825983878615,1.0,1.0,0.0,0.28777253164321237,0.5465416777575195,0.07562825983878615,4218.0,3899.0,319.0,537.852336621892,491.13466069205975,1073.9999999999286,-2.2664999999999993,2.9261926034026287,0.007797240550916612,0.0,-23.888273805548476,0.0,0.0,-4.0,-2.1,-1.500000000000001,0.0
