method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,effective_latency_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,reward_delay,reward_energy,reward_qos,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
han_mappo_latency_priority_g1_300k_600s_u10,HAN+MAPPO,1,92.32095587224995,2.21390683264855,1775.9364646831941,0.6956521739130435,0.30434782608695654,0.0,0.9755333333333334,0.9778333333333333,0.865819209039548,0.865819209039548,0.134180790960452,1.0,1.0,0.0,0.2628064667208552,0.6621601731601733,0.134180790960452,2124.0,1839.0,285.0,191.21512961028228,286.41095302975236,466.2000000000119,-2.2019999999999955,1.0222879014047128,0.025902985902985898,26.750000000000085,-15.622898373789194,-2.9999999999999996,0.0,-2.0,-2.1,-0.4800000000000002,
han_mappo_latency_priority_g1_300k_600s_u10,HAN+MAPPO,2,94.73707421935524,2.2467372821738567,1902.7873717431405,0.7241379310344828,0.27586206896551724,0.0,0.9747666666666667,0.9776666666666667,0.8785046728971962,0.8785046728971962,0.12149532710280374,1.0,1.0,0.0,0.26375311496645915,0.7029764309764297,0.12149532710280374,2140.0,1880.0,260.0,194.26673265292342,285.2581894238533,486.0000000000127,-2.2709999999999955,1.3216181068683874,0.05121031746031746,25.9199999999999,-13.415108609881662,-2.9999999999999996,0.0,-2.0,-2.4,-0.6300000000000003,
han_mappo_latency_priority_g1_300k_600s_u10,HAN+MAPPO,3,91.87111567303542,2.2451583902033154,1817.208522228409,0.76,0.24,0.0,0.9811666666666667,0.9836666666666667,0.8649031648559282,0.8649031648559282,0.1350968351440718,1.0,1.0,0.0,0.2615016135461956,0.656227513227511,0.1350968351440718,2117.0,1831.0,286.0,187.3395726035531,285.3418721665746,463.5000000000118,-1.6949999999999967,1.2076950131120454,-0.08944083694083696,25.703333333333187,-16.282878454309678,-6.299999999999998,0.0,-2.0,-1.8,-0.5700000000000003,
min_distance,Min-Distance,1,103.1760049279444,2.1073247036302645,4284.850345807047,0.6774193548387096,0.3225806451612903,0.0,0.9742333333333334,0.9773333333333334,0.9321714554875177,0.9317325800376648,0.06779661016949153,0.9995291902071564,0.9995291902071564,0.00047080979284369113,0.2921242624450778,0.6946970899470896,0.06779661016949153,2123.0,1979.0,144.0,270.97674304789905,248.47724481289472,550.5000000000078,-2.3189999999999964,1.2371164017575742,-0.04940476190476192,0.0,-10.561650221201278,0.0,0.0,-2.0,-2.9999999999999996,-0.6300000000000003,0.0
min_distance,Min-Distance,2,100.33568087927306,2.253041211129536,4586.508191817204,0.7142857142857143,0.2857142857142857,0.0,0.9748666666666667,0.9776666666666667,0.9172897196261682,0.9172897196261682,0.08271028037383178,1.0,1.0,0.0,0.2748920512534987,0.7323624338624336,0.08271028037383178,2140.0,1963.0,177.0,261.97163490088514,244.8523771227421,535.8000000000101,-2.2619999999999982,1.1789674276907995,0.009880952380952383,0.0,-12.836051610968555,0.0,0.0,-2.0,-2.4,-0.6000000000000003,0.0
min_distance,Min-Distance,3,103.12342379514986,2.1352746542638497,4318.376443076564,0.6896551724137931,0.3103448275862069,0.0,0.9802666666666667,0.9831666666666666,0.9296173830892773,0.9296173830892773,0.07038261691072271,1.0,1.0,0.0,0.29065170802724427,0.7223981481481463,0.07038261691072271,2117.0,1968.0,149.0,269.9847295429852,247.8243533538513,545.7000000000086,-1.7759999999999965,1.1795634624239653,-0.06484126984126984,0.0,-10.329567137920261,0.0,0.0,-2.0,-2.6999999999999997,-0.6000000000000003,0.0
mappo_no_han,MAPPO (no HAN),1,92.02499294744004,2.2261495698446185,2011.5724217487639,0.76,0.24,0.0,0.9755,0.978,0.8662900188323918,0.8662900188323918,0.1337099811676083,1.0,1.0,0.0,0.26194257119073966,0.6609404761904764,0.1337099811676083,2124.0,1840.0,284.0,190.40665696373173,282.8764136737683,466.80000000001195,-2.204999999999995,1.1999958398140518,-0.05500610500610501,26.810000000000077,-15.479946459528865,-2.6999999999999997,0.0,-2.0,-1.8,-0.5700000000000003,
mappo_no_han,MAPPO (no HAN),2,94.45983273029971,2.2517739866989324,2121.3255438789097,0.7333333333333333,0.26666666666666666,0.0,0.9746666666666667,0.9776666666666667,0.8789719626168224,0.8789719626168224,0.12102803738317756,1.0,1.0,0.0,0.2634576315578709,0.7017581770081758,0.12102803738317756,2140.0,1881.0,259.0,194.07971258454984,281.83011684181645,486.6000000000127,-2.2799999999999954,1.3771917360757977,0.05208333333333333,26.073333333333217,-13.297739017785252,-2.9999999999999996,0.0,-2.0,-2.4,-0.6600000000000004,
mappo_no_han,MAPPO (no HAN),3,91.34988064329694,2.2544310944185084,2028.945567528929,0.7,0.3,0.0,0.9801666666666666,0.9831666666666666,0.8649031648559282,0.8649031648559282,0.1350968351440718,1.0,1.0,0.0,0.2604907670468773,0.6573902116402095,0.1350968351440718,2117.0,1831.0,286.0,186.96463940599904,282.1658164870665,463.5000000000118,-1.7849999999999968,1.318986035409499,-0.07324675324675325,25.87666666666651,-16.686647317010348,-5.999999999999998,0.0,-2.0,-2.6999999999999997,-0.6300000000000003,
joint_greedy,Joint Greedy,1,72.89152412297881,2.363888506957847,3814.114473241286,0.8095238095238095,0.19047619047619047,0.0,0.8670666666666667,0.8691666666666666,0.8265786993402451,0.8258003766478342,0.17325800376647835,0.9990583804143126,0.9990583804143126,0.0009416195856873823,0.21285603801407085,0.6445542328042339,0.17325800376647835,2122.0,1754.0,368.0,240.62699728967078,219.988282901381,415.80000000001,-11.963999999999984,1.0754360380223897,0.001984126984126992,0.016666666666666666,-25.587051865483204,0.0,0.0,-2.0,-1.2,-0.5100000000000002,
joint_greedy,Joint Greedy,2,83.23605644829017,2.3974053464083616,4251.097417366262,0.72,0.28,0.0,0.9103333333333333,0.9128333333333334,0.8610201216658867,0.8598130841121495,0.13878504672897196,0.9985981308411215,0.9985981308411215,0.0014018691588785046,0.2303865541775555,0.7729616402116396,0.13878504672897196,2137.0,1840.0,297.0,245.75354570436147,229.483538739506,462.9000000000118,-8.070000000000018,1.1455759720873537,-0.04496031746031747,0.05,-21.91281040984837,0.0,0.0,-2.0,-2.1,-0.5400000000000003,
