method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,effective_latency_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,1,-14.79101602835664,2.5813948595307568,903.7826092386357,0.7254901960784313,0.27450980392156865,0.0,0.9831166666666666,0.9856666666666667,0.8332938107659473,0.8332938107659473,0.16670618923405264,1.0,1.0,0.0,0.22874468348947122,0.0011663350112788246,0.16670618923405264,4217.0,3514.0,703.0,-1044.0499824780836,-3.3369946479309807,843.1999999999553,1405.6000000000456,340.8587895042849,-1.5194999999999972,2.3692943182756685,0.0,0.0,-208.4550373842284,-562.4000000000023,-186.60000000000136,0.0,-3.0,-4.199999999999999,-1.1100000000000008,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,2,-20.12048915850837,2.689701509569947,991.121575813675,0.7843137254901961,0.21568627450980393,0.0,0.9847,0.98725,0.8258386866523911,0.8256422454804948,0.17411988582302568,0.9997621313035204,0.9997621313035204,0.0002378686964795433,0.22034571550461368,0.0013038221169979736,0.17411988582302568,4203.0,3471.0,732.0,-1053.7588091211376,-3.4001481996044376,802.7999999999604,1388.4000000000417,333.71157772912574,-1.3769999999999978,2.554603199703441,4.343184809704165e-05,0.0,-228.33617058052232,-585.6000000000009,-219.6000000000026,0.0,-3.0,-3.2999999999999994,-1.2050000000000007,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,3,-23.07381322684417,2.693376715613077,997.2279772969766,0.6727272727272727,0.32727272727272727,0.0,0.9873333333333334,0.9900833333333333,0.8251249107780158,0.8251249107780158,0.1748750892219843,1.0,1.0,0.0,0.22057683017574262,0.001235843223035698,0.1748750892219843,4203.0,3468.0,735.0,-1072.776598245058,-3.434156822947228,799.1999999999581,1387.2000000000414,326.45809802376704,-1.1399999999999975,2.359216107916568,0.0,0.0,-240.52705542590087,-588.0000000000008,-240.90000000000342,0.0,-2.0,-5.399999999999999,-1.1100000000000008,
attn_mappo,Attn+MAPPO,1,-4.014765568913071,2.4738543619390088,859.2590662621685,0.7653061224489796,0.23469387755102042,0.0,0.9807666666666667,0.9856666666666667,0.8475219350248993,0.8475219350248993,0.15247806497510077,1.0,1.0,0.0,0.23927924908092263,0.0009437812006499511,0.15247806497510077,4217.0,3574.0,643.0,-1024.8227226195563,-3.5409490349487145,915.1999999999501,1429.600000000051,347.1760068711029,-1.7309999999999954,4.513163296046693,0.0,0.0,-164.48250365401023,-514.400000000005,-106.49999999999935,0.0,-3.0,-6.899999999999998,-2.25,
attn_mappo,Attn+MAPPO,2,-16.299134740944645,2.651051214229888,1008.661670153277,0.7884615384615384,0.21153846153846154,0.0,0.9848166666666667,0.9874166666666667,0.8317868189388532,0.8315889628924833,0.1681731684110371,0.9997621313035204,0.9997621313035204,0.0002378686964795433,0.22430873258657058,0.0011942240823211757,0.1681731684110371,4203.0,3496.0,707.0,-1044.3980049280894,-3.622030614558605,832.7999999999599,1398.400000000044,337.6449886336671,-1.3664999999999974,2.598450366971623,4.343184809704165e-05,0.0,-214.1008134660268,-565.6000000000021,-200.7000000000019,0.0,-3.0,-3.2999999999999994,-1.2350000000000008,
attn_mappo,Attn+MAPPO,3,-17.926866720838348,2.6418342875335292,991.9191412747527,0.7014925373134329,0.29850746268656714,0.0,0.9873166666666667,0.9906666666666667,0.8317868189388532,0.8317868189388532,0.1682131810611468,1.0,1.0,0.0,0.22550092195660287,0.0011529435213517162,0.1682131810611468,4203.0,3496.0,707.0,-1063.4461232525755,-3.591212199304753,832.7999999999573,1398.400000000044,330.1985264043968,-1.1414999999999973,2.902552928803337,0.0,0.0,-218.52998761370128,-565.6000000000021,-206.1000000000021,0.0,-2.0,-5.999999999999998,-1.410000000000001,
mappo_no_han,MAPPO (no HAN),1,-12.638347470903131,2.57965971734276,733.470726950039,0.7272727272727273,0.2727272727272727,0.0,0.98175,0.9845,0.8375622480436329,0.8375622480436329,0.1624377519563671,1.0,1.0,0.0,0.22970807337721647,0.0013544535674787604,0.1624377519563671,4217.0,3532.0,685.0,-1044.882916682201,-2.64402276688058,864.7999999999533,1412.8000000000472,336.95237300890966,-1.642499999999998,2.536851376722127,0.0,0.0,-200.40321215801958,-548.0000000000031,-167.70000000000064,0.0,-3.0,-4.499999999999999,-1.2000000000000008,
mappo_no_han,MAPPO (no HAN),2,-23.473669689979587,2.7462933496855024,880.9122399731771,0.7843137254901961,0.21568627450980393,0.0,0.9842833333333334,0.9868333333333333,0.8220318819890554,0.8218363463368221,0.1779257849666984,0.9997621313035204,0.9997621313035204,0.0002378686964795433,0.21592538088209326,0.0015308397624775145,0.1779257849666984,4203.0,3455.0,748.0,-1068.6294935292635,-2.7635319463384374,783.5999999999603,1382.0000000000402,325.13971804510675,-1.414499999999998,2.5548333114024833,4.343184809704165e-05,0.0,-237.9515326125263,-598.4000000000002,-234.30000000000317,0.0,-3.0,-3.2999999999999994,-1.2050000000000007,
mappo_no_han,MAPPO (no HAN),3,-27.662609658415374,2.744568505598528,860.8837228426955,0.631578947368421,0.3684210526315789,0.0,0.9775666666666667,0.9804166666666667,0.8141361256544503,0.8139424220794671,0.18581965262907446,0.9997620747085415,0.9997620747085415,0.00023792529145848205,0.21248989816081268,0.0013518181604503892,0.18581965262907446,4202.0,3421.0,781.0,-1070.6261204805692,-2.7553594397272807,743.5999999999563,1368.4000000000372,316.470832291611,-2.018999999999996,2.2985417814451083,4.8032625702777897e-05,0.0,-252.0715023671677,-624.7999999999987,-241.80000000000345,0.0,-2.0,-6.299999999999998,-1.0850000000000006,
min_distance,Min-Distance,1,-25.872346654761966,2.7432909198611064,635.5222329251176,0.6857142857142857,0.3142857142857143,0.0,0.9822500000000001,0.98575,0.8193028219113113,0.8193028219113113,0.18069717808868865,1.0,1.0,0.0,0.2149873504494398,0.0017547536002870685,0.18069717808868865,4217.0,3455.0,762.0,-1088.5598508852634,-1.6860441178519983,772.3999999999538,1382.0000000000402,318.75239128651765,-1.5974999999999973,2.8259837014191307,0.0,0.0,-238.9168846032364,-609.5999999999996,-238.2000000000033,0.0,-3.0,-6.599999999999998,-1.440000000000001,1.0
min_distance,Min-Distance,2,-31.6895390933198,2.839847698812851,712.8412203224882,0.8,0.2,0.0,0.985,0.9875,0.8082322150844635,0.8080399619410086,0.1917221693625119,0.9997621313035204,0.9997621313035204,0.0002378686964795433,0.20727888836788094,0.0018196385783661828,0.1917221693625119,4203.0,3397.0,806.0,-1095.7375948758115,-1.6797375421357919,713.9999999999638,1358.800000000035,312.4330170630593,-1.3499999999999983,2.361199825435109,4.2852738424156235e-05,0.0,-262.3423357803762,-644.7999999999976,-267.3000000000044,0.0,-3.0,-2.9999999999999996,-1.2050000000000007,1.0
min_distance,Min-Distance,3,-29.385525568304978,2.7752862029093253,688.0848704780152,0.6507936507936508,0.3492063492063492,0.0,0.9873500000000001,0.9905,0.8152820756962628,0.814894123245301,0.18463002617178206,0.999524149417083,0.999524149417083,0.0004758505829169641,0.21311913040293873,0.0017435841751727618,0.18463002617178206,4201.0,3425.0,776.0,-1097.1863363845093,-1.7533405966212507,749.1999999999618,1370.0000000000375,312.9977369861426,-1.1384999999999974,2.4262740577964674,4.1397587851217015e-05,0.0,-249.49069803069025,-620.7999999999989,-271.50000000000455,0.0,-2.0,-6.599999999999998,-1.2350000000000008,1.0
