method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,mec_load_fairness,active_load_balance_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,energy_per_successful_task,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
han_attn_latency_priority_g1_300k_600s_u30_final,HAN+Attn,1,-13.181551881864383,2.5743469208093273,1442.1916077919507,0.7370600414078675,0.2629399585921325,0.0,0.9662333333333333,0.9823333333333333,0.8407803650094399,0.8407803650094399,0.1592196349905601,1.0,1.0,0.0,0.026833333333333334,0.028311209109460465,0.028311209109460465,0.028311209109460465,0.1592196349905601,6356.0,5344.0,1012.0,0.26987118409280514,-1569.9826412348443,-5.53720113342143,1328.0000000000439,2137.600000000212,514.4402557495696,-3.0389999999999935,20.37850535522388,0.009828391655282567,0.0,-294.84539136191233,-809.5999999999882,-240.3000000000034,0.0,-4.0,-38.099999999999994,-10.689999999999966,
han_attn_latency_priority_g1_300k_600s_u30_final,HAN+Attn,2,-27.04373630450732,2.7141370586054308,1594.7400277494942,0.7467018469656992,0.2532981530343008,0.0,0.9542888888888887,0.9795555555555555,0.8228190052439218,0.8225575853852264,0.17712470214455917,0.9996822875297855,0.9996822875297855,0.0003177124702144559,0.04211111111111111,0.049856704258341523,0.049856704258341523,0.049856704258341523,0.17712470214455917,6293.0,5178.0,1115.0,0.3079837828793925,-1597.1932620166017,-5.527346628243055,1179.200000000037,2071.2000000001967,495.46118776592306,-4.11399999999998,32.11044870790436,0.026346692219820514,0.0,-358.7509710009033,-891.9999999999835,-352.2000000000076,0.0,-4.0,-57.59999999999981,-16.98999999999989,
han_attn_latency_priority_g1_300k_600s_u30_final,HAN+Attn,3,-24.96329966980329,2.683649583321191,1537.2812253359234,0.7477064220183486,0.25229357798165136,0.0,0.9726333333333332,0.9871666666666666,0.8239357429718875,0.8239357429718875,0.17606425702811246,1.0,1.0,0.0,0.02422222222222222,0.05317528839275564,0.05317528839275564,0.05317528839275564,0.17606425702811246,6225.0,5129.0,1096.0,0.2997233818163235,-1597.719746530205,-5.347032734421162,1174.8000000000063,2051.6000000001923,482.54628401356985,-2.4629999999999934,18.755374737193133,0.06426194906598744,0.0,-333.50996032989866,-876.7999999999844,-367.2000000000082,0.0,-3.0,-33.00000000000004,-9.789999999999985,
han_attn_latency_priority_g1_300k_600s_u30_final,HAN+Attn,4,-21.640573289092337,2.6735093767056295,1517.8058832572776,0.7161862527716186,0.2838137472283814,0.0,0.9706888888888888,0.9857222222222222,0.8328493062278154,0.8328493062278154,0.16715069377218458,1.0,1.0,0.0,0.025055555555555557,0.06319664158016967,0.06319664158016967,0.06319664158016967,0.16715069377218458,6198.0,5162.0,1036.0,0.2940344601428279,-1573.6304343712843,-5.3793491313553154,1236.000000000028,2064.8000000001953,493.2960297597294,-2.637999999999995,18.415698436526085,0.004584206848342093,0.0,-355.16764664195244,-828.7999999999871,-328.2000000000067,-0.5,-4.0,-38.099999999999994,-9.694999999999986,
han_attn_latency_priority_g1_300k_600s_u30_final,HAN+Attn,5,-14.36196887865107,2.589628468687883,1410.2027624835105,0.7668393782383419,0.23316062176165803,0.0017241379310344827,0.9552555555555555,0.9745555555555555,0.8354848866498741,0.8348277489381783,0.1643857165329558,0.9992134654711342,0.9992134654711342,0.0007865345288658172,0.03216666666666667,0.04994837703870438,0.04994837703870438,0.04994837703870438,0.1643857165329558,6352.0,5307.0,1045.0,0.2657250353275882,-1568.3997096444136,-5.46246961644613,1286.8000000000645,2122.8000000002085,503.7572041465282,-4.026999999999981,25.360031525886246,-0.00668139555256207,0.0,-293.7104309861897,-835.9999999999867,-200.10000000000187,-1.0,-4.0,-39.89999999999998,-13.329999999999908,
han_attn_latency_priority_g1_300k_600s_u30_final,HAN+Attn,6,-20.13094952893113,2.64805089027805,1459.9899217741051,0.7320819112627986,0.26791808873720135,0.0017035775127768314,0.9616888888888888,0.9812222222222222,0.8282893672115229,0.8282893672115229,0.1717106327884771,1.0,1.0,0.0,0.03255555555555555,0.04320490684051202,0.04320490684051202,0.04320490684051202,0.1717106327884771,6179.0,5118.0,1061.0,0.28526571351584706,-1543.1718406288126,-5.380528064576992,1198.4000000000372,2047.2000000001915,495.49376997371974,-3.4479999999999826,24.55667096947061,0.06426194906598744,0.0,-330.3464402694754,-848.799999999986,-279.90000000000487,-0.5,-3.0,-46.79999999999991,-12.879999999999919,
han_attn_latency_priority_g1_300k_600s_u30_final,HAN+Attn,7,-25.459399428718154,2.722814096466248,1603.613336247505,0.7394736842105263,0.26052631578947366,0.0,0.976,0.9886666666666667,0.8262180606252976,0.8260869565217391,0.17375436369406538,0.9998413202158045,0.9998413202158045,0.00015867978419549348,0.021111111111111112,0.04655733359140885,0.04655733359140885,0.04655733359140885,0.17375436369406538,6301.0,5206.0,1095.0,0.30803175878745775,-1620.9547796481063,-5.447863930487774,1206.4000000000233,2082.4000000001993,490.9454822881236,-2.159999999999994,16.03703780074099,0.004293687992418327,0.0,-375.4181128254898,-875.9999999999844,-368.4000000000082,0.0,-3.0,-29.70000000000005,-8.435000000000013,
han_attn_latency_priority_g1_300k_600s_u30_final,HAN+Attn,8,-28.82770669987175,2.732715262587177,1599.9203959526394,0.7371663244353183,0.26283367556468173,0.0,0.9713222222222222,0.9875555555555555,0.8165181413112667,0.8165181413112667,0.1834818586887333,1.0,1.0,0.0,0.027055555555555555,0.06142115100747063,0.06142115100747063,0.06142115100747063,0.1834818586887333,6284.0,5131.0,1153.0,0.3118145382873981,-1624.328015536497,-5.449231695358541,1130.000000000011,2052.4000000001924,487.39341912093033,-2.580999999999994,20.590580648081392,0.0,0.0,-388.4976276921084,-922.3999999999818,-354.6000000000077,0.0,-3.0,-38.39999999999999,-10.769999999999962,
han_attn_latency_priority_g1_300k_600s_u30_final,HAN+Attn,9,-13.725170213140785,2.5977554022444918,1412.6925239123216,0.7519230769230769,0.24807692307692308,0.0,0.9655555555555554,0.9828888888888889,0.8417019889142484,0.8417019889142484,0.15829801108575156,1.0,1.0,0.0,0.028888888888888888,0.026569246503344572,0.026569246503344572,0.026569246503344572,0.15829801108575156,6134.0,5163.0,971.0,0.2736185403665159,-1531.0477897942149,-5.3656422326003135,1288.4000000000435,2065.2000000001954,488.60614071769646,-3.0999999999999996,22.363974589819545,-0.0017270504236974406,0.0,-282.6758469618393,-776.7999999999901,-241.80000000000345,0.0,-4.0,-38.69999999999999,-11.734999999999943,
han_attn_latency_priority_g1_300k_600s_u30_final,HAN+Attn,10,-9.966600555216706,2.5233347657987695,1336.6021137619111,0.7282780410742496,0.2717219589257504,0.0031496062992125984,0.9576777777777776,0.9787777777777777,0.8443873454311868,0.8443873454311868,0.15561265456881324,1.0,1.0,0.0,0.035166666666666666,0.033256069475908506,0.033256069475908506,0.033256069475908506,0.15561265456881324,6227.0,5258.0,969.0,0.2542035210654072,-1532.113722064672,-5.416879926306586,1328.000000000081,2103.200000000204,499.5553086383024,-3.808999999999991,26.357867537383992,0.0,0.0,-262.39436582533455,-775.1999999999902,-171.9000000000008,-1.0,-2.0,-50.99999999999987,-13.829999999999897,
