method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,mec_load_fairness,active_load_balance_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,energy_per_successful_task,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
han_attn_cpq_latency_priority_g1_300k_600s_u30,CPQ-HAN+Attn,1,-18.29516438154039,2.6051323270469418,1367.6866235741836,0.7327935222672065,0.26720647773279355,0.0,0.9542999999999999,0.979,0.8340151038388924,0.8340151038388924,0.16598489616110762,1.0,1.0,0.0,0.041166666666666664,0.05160818488334507,0.05160818488334507,0.05160818488334507,0.16598489616110762,6356.0,5301.0,1055.0,0.25800539965557134,-1584.8724725631105,-5.035932807581781,1276.4000000000283,2120.400000000208,507.39530597445673,-4.112999999999992,30.9663344566941,0.007372767615763656,0.0,-309.037376077193,-843.9999999999862,-257.700000000004,-0.5,-4.0,-59.099999999999795,-16.299999999999862,
han_attn_cpq_latency_priority_g1_300k_600s_u30,CPQ-HAN+Attn,2,-31.826246362472546,2.7438458834794117,1544.8598981257162,0.749185667752443,0.250814332247557,0.0,0.947522222222222,0.9782222222222222,0.8161741340959644,0.81604447974583,0.18379666401906275,0.9998411437648927,0.9998411437648927,0.00015885623510722796,0.051166666666666666,0.061541637355230744,0.061541637355230744,0.061541637355230744,0.18379666401906275,6294.0,5137.0,1157.0,0.3007319248833397,-1615.0491559368716,-5.123694386002274,1129.200000000019,2054.800000000193,491.0045550850174,-4.722999999999982,39.14345425658925,-0.0020221293340155658,0.0,-381.4243338481997,-925.5999999999816,-373.8000000000084,0.0,-4.0,-69.2999999999997,-20.70500000000003,
han_attn_cpq_latency_priority_g1_300k_600s_u30,CPQ-HAN+Attn,3,-26.126305521205918,2.686663308183473,1456.3590560470411,0.7375,0.2625,0.0,0.9665555555555555,0.9852222222222222,0.8228112449799196,0.8228112449799196,0.17718875502008033,1.0,1.0,0.0,0.03111111111111111,0.06315479219252938,0.06315479219252938,0.06315479219252938,0.17718875502008033,6225.0,5122.0,1103.0,0.2843340601419448,-1601.1498355873516,-4.942385076376158,1166.400000000003,2048.8000000001916,480.3231693287319,-3.0099999999999945,23.650412864407436,0.09377014624863023,0.0,-333.46135960428705,-882.3999999999841,-363.300000000008,0.0,-3.0,-44.09999999999994,-12.404999999999928,
han_attn,HAN+Attn,1,-29.83162953884725,2.645789743169688,1344.4114097986358,0.7318840579710145,0.26811594202898553,0.0,0.8979111111111111,0.9531111111111111,0.8182819383259912,0.8182819383259912,0.1817180616740088,1.0,1.0,0.0,0.092,0.038311208914833056,0.038311208914833056,0.038311208914833056,0.1817180616740088,6356.0,5201.0,1155.0,0.25849094593321204,-1578.6259132045338,-5.018160104637403,1156.3999999999878,2080.400000000199,496.03823684243434,-9.187999999999963,68.7355040629503,0.006276900936639862,0.0,-337.50503166784927,-923.9999999999817,-242.10000000000346,0.0,-4.0,-133.19999999999933,-36.36500000000062,
han_attn,HAN+Attn,2,-40.185476469587165,2.7798711644067784,1496.4480199031138,0.7376171352074966,0.26238286479250333,0.0,0.9048111111111109,0.9546111111111111,0.8027967583028762,0.8025416997617156,0.1971405877680699,0.9996822875297855,0.9996822875297855,0.0003177124702144559,0.083,0.06311663120149401,0.06311663120149401,0.06311663120149401,0.1971405877680699,6293.0,5052.0,1241.0,0.29620903006791643,-1598.5494501746953,-4.954894494106745,1027.9999999999575,2020.8000000001855,479.962108142536,-8.56699999999997,62.422592939845615,-0.0076754345202009275,0.0,-399.0609333346191,-992.7999999999778,-359.10000000000787,0.0,-4.0,-117.59999999999924,-33.07000000000049,
han_attn,HAN+Attn,3,-31.098958930800634,2.710641112461994,1440.5799792577275,0.7335127860026918,0.26648721399730824,0.0,0.9490666666666666,0.9738333333333333,0.8128213367609255,0.8126907630522089,0.18714859437751005,0.9998393574297189,0.9998393574297189,0.0001606425702811245,0.041277777777777774,0.056538119959710566,0.056538119959710566,0.056538119959710566,0.18714859437751005,6224.0,5059.0,1165.0,0.28475587650874234,-1591.003132607227,-4.877193939441885,1091.5999999999735,2023.6000000001861,474.9060562877097,-4.5839999999999845,31.062736762406637,0.035815911149332726,0.0,-354.8539157061608,-931.9999999999812,-363.000000000008,0.0,-3.0,-59.39999999999979,-16.359999999999864,
attn_mappo,Attn+MAPPO,1,-39.248952460953845,2.6521903036815813,1342.32738029597,0.7367205542725174,0.2632794457274827,0.00032981530343007914,0.8433000000000002,0.9443333333333334,0.8133459238275103,0.8130899937067338,0.18659534298300817,0.999685336689742,0.999685336689742,0.00031466331025802394,0.1683888888888889,0.053303834019630986,0.053303834019630986,0.053303834019630986,0.18659534298300817,6354.0,5168.0,1186.0,0.25973827018110873,-1609.45935931793,-4.920082991496564,1118.3999999999714,2067.200000000196,490.9209615771634,-14.102999999999989,127.03154982099548,0.0035514907186427053,0.0,-353.73487687126783,-948.7999999999803,-209.1000000000022,-1.0,-3.0,-238.80000000000334,-66.99500000000177,
attn_mappo,Attn+MAPPO,2,-43.658408358132995,2.7791193104772387,1535.8180770902077,0.7326086956521739,0.2673913043478261,0.000434593654932638,0.880111111111111,0.9567777777777777,0.805846838258659,0.8057188244638602,0.19412231930103258,0.9998411437648927,0.9998411437648927,0.00015885623510722796,0.12777777777777777,0.06321567856788517,0.06321567856788517,0.06321567856788517,0.19412231930103258,6294.0,5072.0,1222.0,0.30280324863765923,-1632.1007335244424,-5.1200786487656105,1051.1999999999794,2028.8000000001873,478.0610659812986,-10.78999999999998,95.54220886360629,-0.0020221293340155658,0.0,-395.4035003032825,-977.5999999999786,-335.700000000007,-0.5,-4.0,-184.20000000000127,-50.55500000000115,
attn_mappo,Attn+MAPPO,3,-36.53810710084315,2.72353416810887,1469.2831891997903,0.7339449541284404,0.26605504587155965,0.0,0.9196333333333334,0.9705,0.8108933161953727,0.8107630522088354,0.18907630522088353,0.9998393574297189,0.9998393574297189,0.0001606425702811245,0.08477777777777777,0.06982145872944444,0.06982145872944444,0.06982145872944444,0.18907630522088353,6224.0,5047.0,1177.0,0.2911201088170775,-1616.5398439081337,-4.919721445646722,1077.1999999999725,2018.800000000185,470.01013181849294,-7.23299999999999,63.76398688628162,0.0688932035453995,0.0,-355.5445730812819,-941.5999999999807,-355.2000000000077,0.0,-3.0,-121.7999999999992,-33.615000000000514,
han_mappo,HAN+MAPPO,1,-26.68085762895613,2.695694366360295,1550.7976279545192,0.745819397993311,0.25418060200668896,0.0033333333333333335,0.9618999999999999,0.9818333333333333,0.8199842643587726,0.8198552548772813,0.17998741346758967,0.999842668344871,0.999842668344871,0.00015733165512901197,0.03322222222222222,0.03494485982260635,0.03494485982260635,0.03494485982260635,0.17998741346758967,6355.0,5211.0,1144.0,0.2976007729715063,-1614.0976447358175,-5.4110225576535065,1169.200000000001,2084.4000000001997,496.55592203449993,-3.4289999999999927,26.756563907542155,0.010938968446102017,0.0,-365.83082080377585,-915.1999999999822,-337.20000000000704,-1.0,-4.0,-44.99999999999993,-13.394999999999907,
