method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_resolution_rate,pending_task_rate,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,selected_offload
han_mappo_latency_priority,HAN+MAPPO,1,410.0751685062851,2.186603414330888,1158.2627649749002,0.8387096774193549,0.16129032258064516,0.0,0.9463699999999999,0.95195,0.5509275463773189,0.9998833411105926,0.00011665888940737284,0.6108816429985712,0.4490724536226811,8571.0,4722.0,3849.0,
han_mappo_latency_priority,HAN+MAPPO,2,417.9404453329733,2.2049025597661225,1206.1799001666868,0.8263157894736842,0.1736842105263158,0.0,0.97015,0.97585,0.5514984498794351,1.0,0.0,0.60494912569509,0.4485015501205649,8709.0,4803.0,3906.0,
han_mappo_latency_priority,HAN+MAPPO,3,397.6384472420981,2.1906621630762784,1171.252956441765,0.766497461928934,0.233502538071066,0.0,0.9686899999999999,0.9746,0.5397636900704386,0.9998864023628309,0.00011359763716914689,0.6087587537462535,0.46023630992956144,8802.0,4751.0,4051.0,
han_mappo_latency_priority,HAN+MAPPO,4,412.1084429813359,2.2033108669913486,1198.9964648460796,0.7771739130434783,0.22282608695652173,0.0,0.9696299999999999,0.97515,0.5473841211564938,0.9998852816335896,0.00011471836641046231,0.6079089431507044,0.4526158788435062,8716.0,4771.0,3945.0,
han_mappo_latency_priority,HAN+MAPPO,5,414.3022242100184,2.1969576266484254,1209.7400055314301,0.8020833333333334,0.19791666666666666,0.0,0.96764,0.9734,0.5487569531161313,0.9998864926220205,0.00011350737797956867,0.6081495074221919,0.4512430468838688,8809.0,4834.0,3975.0,
han_mappo_latency_priority,HAN+MAPPO,6,424.3161635154684,2.2039398544070528,1190.2017810016514,0.8397790055248618,0.16022099447513813,0.0,0.97222,0.97765,0.5605676049838486,1.0,0.0,0.6034531163281164,0.43943239501615133,8668.0,4859.0,3809.0,
han_mappo_latency_priority,HAN+MAPPO,7,412.4197979601987,2.200853525931329,1195.3272749663101,0.7704081632653061,0.22959183673469388,0.0,0.9657199999999999,0.9716,0.5472545182456544,0.9998848987108656,0.00011510128913443831,0.6068866628422501,0.4527454817543456,8687.0,4754.0,3933.0,
han_mappo_latency_priority,HAN+MAPPO,8,406.5052591511839,2.2120433618173516,1223.923750167535,0.7696335078534031,0.23036649214659685,0.0,0.97107,0.9768,0.5481464737793852,0.9998869928805515,0.00011300711944852526,0.605827994134237,0.4518535262206148,8848.0,4850.0,3998.0,
han_mappo_latency_priority,HAN+MAPPO,9,417.7399993685624,2.1968704360526785,1178.729186253631,0.827027027027027,0.17297297297297298,0.0,0.9743499999999999,0.9799,0.5502463618654749,0.9998854262144822,0.00011457378551787351,0.602341108891107,0.449753638134525,8727.0,4802.0,3925.0,
han_mappo_latency_priority,HAN+MAPPO,10,403.5945475311494,2.1991355651901623,1188.1930921079304,0.7593582887700535,0.24064171122994651,0.0,0.96424,0.96985,0.5427325914878972,0.9995413370026374,0.00045866299736268775,0.5988917606449657,0.4572674085121028,8717.0,4731.0,3986.0,
