method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,active_load_balance_score,avg_load_balance_score,mec_activity_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,1,-14.791696341950567,2.5814235435503736,903.7637660819368,0.7254901960784313,0.27450980392156865,0.0,0.9831166666666666,0.9856666666666667,0.8332938107659473,0.8332938107659473,0.16670618923405264,1.0,1.0,0.0,0.00425,0.00333333326845753,0.00333333326845753,0.07579966100553671,0.16670618923405264,4217.0,3514.0,703.0,-1044.0580735603435,-3.336892201615977,843.1999999999553,1405.6000000000456,340.85289628009446,-1.5194999999999972,2.3692943182756685,0.0,0.0,-208.4545818653477,-562.4000000000023,-186.60000000000136,0.0,-3.0,-4.199999999999999,-1.1100000000000008,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,2,-20.109955541962204,2.689305360878262,991.1665048934697,0.7843137254901961,0.21568627450980393,0.0,0.9847,0.98725,0.8258386866523911,0.8256422454804948,0.17411988582302568,0.9997621313035204,0.9997621313035204,0.0002378686964795433,0.00425,0.011644542727132277,0.011644542727132277,0.08148147954295079,0.17411988582302568,4203.0,3471.0,732.0,-1053.655349087419,-3.4003767585267344,802.7999999999604,1388.4000000000417,333.7853040552044,-1.3769999999999978,2.5546031997034406,0.03310810542611686,0.0,-228.33547578849564,-585.6000000000009,-219.6000000000026,0.0,-3.0,-3.2999999999999994,-1.2050000000000007,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,3,-23.074130567035986,2.693392440575023,997.1335718580603,0.6727272727272727,0.32727272727272727,0.0,0.9873333333333334,0.9900833333333333,0.8251249107780158,0.8251249107780158,0.1748750892219843,1.0,1.0,0.0,0.004583333333333333,0.001666666634228765,0.001666666634228765,0.0809764286192755,0.1748750892219843,4203.0,3468.0,735.0,-1072.780640776912,-3.433684258395969,799.1999999999581,1387.2000000000414,326.4551911062489,-1.1399999999999975,2.359216107916568,0.0,0.0,-240.52697784683681,-588.0000000000008,-240.90000000000342,0.0,-2.0,-5.399999999999999,-1.1100000000000008,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,4,-17.14429934132565,2.6488407543583783,928.4433463042163,0.7916666666666666,0.20833333333333334,0.0,0.98585,0.98825,0.8309143686502177,0.8309143686502177,0.1690856313497823,1.0,1.0,0.0,0.004,0.001666666634228765,0.001666666634228765,0.07432659734040499,0.1690856313497823,4134.0,3435.0,699.0,-1036.7190370111925,-3.2889995581007647,814.7999999999545,1374.0000000000384,329.5768827343819,-1.273499999999998,2.4275159178539774,0.03666206491546803,0.0,-219.81860536192576,-559.2000000000024,-197.70000000000178,0.0,-3.0,-2.9999999999999996,-1.1500000000000008,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,5,-21.1192880061421,2.6515617400647855,926.7886012545332,0.803921568627451,0.19607843137254902,0.0,0.97395,0.9765,0.8217164532954007,0.8217164532954007,0.17828354670459934,1.0,1.0,0.0,0.00425,0.0083259586003208,0.0083259586003208,0.06940235507984956,0.17828354670459934,4218.0,3466.0,752.0,-1050.9755764683246,-3.3099586991199534,784.7999999999545,1386.4000000000412,328.7554811539037,-2.344499999999997,2.5588213859743982,0.031153843639870574,0.0,-235.54652083060654,-601.6,-192.9000000000016,0.0,-4.0,-2.9999999999999996,-1.2350000000000008,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,6,-15.891540478813631,2.659256753017617,913.3046962109598,0.6964285714285714,0.30357142857142855,0.0,0.9832,0.986,0.8303417752643226,0.8301376597836775,0.1696165191740413,0.9997541789577188,0.9997541789577188,0.0002458210422812193,0.004666666666666667,0.004985250761040241,0.004985250761040241,0.07647306192666292,0.1696165191740413,4067.0,3377.0,690.0,-1006.0600315738147,-3.235939127565539,798.7999999999637,1350.8000000000332,330.4508795474146,-1.5119999999999965,2.5018870133757614,0.008000003070831296,0.0,-219.47835197328718,-552.0000000000028,-183.30000000000123,0.0,-3.0,-5.099999999999999,-1.1750000000000007,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,7,-14.652668301164509,2.6059249278069134,939.4344277272468,0.813953488372093,0.18604651162790697,0.0,0.9894333333333334,0.9915833333333334,0.8387945467591486,0.8387945467591486,0.16120545324085148,1.0,1.0,0.0,0.0035833333333333333,0.006633650753186434,0.006633650753186434,0.07853535149867336,0.16120545324085148,4181.0,3507.0,674.0,-1048.1146877308538,-3.471328514171784,863.5999999999561,1402.800000000045,332.666967662353,-0.9509999999999984,2.2215353345856608,0.0,0.0,-205.33913585093322,-539.2000000000036,-210.00000000000225,0.0,-2.0,-2.4,-1.0500000000000007,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,8,-20.866794068721738,2.667654430695144,993.4597471973534,0.7547169811320755,0.24528301886792453,0.0,0.9891833333333333,0.9918333333333333,0.8279697113109323,0.8277738348710669,0.17198959072628342,0.9997634255973503,0.9997634255973503,0.0002365744026496333,0.004416666666666667,0.00333333326845753,0.00333333326845753,0.0754208734879891,0.17198959072628342,4226.0,3499.0,727.0,-1073.7220998002358,-3.4920155656751892,817.9999999999621,1399.6000000000442,334.26142315217857,-0.9734999999999981,2.5588168277402183,0.0,0.0,-235.88416171722716,-581.6000000000012,-232.8000000000031,0.0,-2.0,-3.899999999999999,-1.2000000000000008,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,9,-11.93121633835656,2.6127177807031186,890.4350137354044,0.8297872340425532,0.1702127659574468,0.0,0.9840666666666666,0.9864166666666667,0.8420533070088845,0.8416378885051801,0.15786877158362111,0.9995066600888012,0.9995066600888012,0.000493339911198816,0.003916666666666666,0.001666666634228765,0.001666666634228765,0.07213804520045718,0.15786877158362111,4052.0,3412.0,640.0,-1001.6942403759765,-3.233746153865662,852.7999999999622,1364.8000000000363,325.7616012784085,-1.4339999999999968,2.491368404664307,0.029508197182642783,0.0,-197.79561712648672,-512.0000000000051,-180.60000000000113,0.0,-3.0,-2.4,-1.1750000000000007,
han_mappo_latency_priority_g1_300k_600s_u20,HAN+MAPPO,10,-17.69102839623771,2.6625041487140715,938.634194249977,0.7450980392156863,0.2549019607843137,0.0,0.9808666666666667,0.9834166666666667,0.8342117872544322,0.8338122605363985,0.1657088122605364,0.9995210727969349,0.9995210727969349,0.0004789272030651341,0.00425,0.009992625234549564,0.009992625234549564,0.0779882134248813,0.1657088122605364,4174.0,3482.0,692.0,-1039.814999326142,-3.3250741063766713,839.1999999999588,1392.8000000000427,328.3128159526407,-1.7219999999999973,2.4414535966559945,0.0053846147497730035,0.0,-219.84422835088694,-553.6000000000028,-217.50000000000253,0.0,-3.0,-3.899999999999999,-1.1450000000000007,
