method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,total_user_seconds,blocked_user_seconds,handover_interruption_seconds,service_interruption_seconds,total_handovers,failed_handovers,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,handover_frequency,load_balance_variance,load_balance_coefficient,load_variance_sample_count,mec_load_fairness,active_load_balance_score,avg_load_balance_score,energy_per_resolved_task,energy_per_successful_task,handover_action_rate,local_compute_rate,mean_offload_ratio,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_mappo_latency_priority_multiuser_u20,HAN+MAPPO,True,3,-29.306455826740557,4.489283663897161,2.6387733199976413,946.5481769989102,0.7456576630262469,0.254342336973753,0.0,12000.0,141.66666666666666,33.60000000000003,175.26666666666645,56.0,14.333333333333334,0.9853944444444446,0.9881944444444445,0.8306147204533921,0.8305492589277531,0.16937145150675373,0.9999207104345068,0.9999207104345068,7.92895654931811e-05,0.16937145150675373,0.004666666666666667,0.00562579357503155,0.9559841477939098,774,0.9559841477939098,0.9559841477939098,0.9559841477939098,0.2249579759959384,0.2708292351928212,0.0016666666666666668,0.0,0.7853832244873047,-753.9353522634223,-20.181746419040298,446.1499999999964,873.75,133.89149602878786,-1.3144999999999971,2.6422616111249737,0.011036035142038955,0.0,-153.44310332866405,-427.60000000000474,-206.4000000000021,0.0,-2.6666666666666665,-4.3,-1.2516666666666676,avg_delay,-2.6387733199976413,1,Service Continuity,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_multiuser_u20_20260706_152600/training_history.json,checkpoint_eval
attn_mappo,Attn+MAPPO,False,3,-26.820563311093736,3.4798202201496107,2.6082616407597476,900.2620197159499,0.7825730994152047,0.2174269005847953,0.0,12000.0,143.0,41.60000000000003,184.5999999999998,69.33333333333333,15.333333333333334,0.9846166666666667,0.9880833333333333,0.8348827153228459,0.8347509119650889,0.1650904900389317,0.9998414020040207,0.9998414020040207,0.0001585979959793418,0.1650904900389317,0.0057777777777777775,0.005644532367850592,0.9558407737840557,763,0.9558407737840557,0.9558407737840557,0.9558407737840557,0.2139744936735739,0.256290193504256,0.003,0.0,0.7938247323036194,-749.5683118576629,-19.61379529051938,461.36666666666224,878.1666666666666,134.5609888694796,-1.3844999999999967,3.321836118347813,0.023795001256254198,0.0,-144.14911173423914,-416.80000000000433,-185.4000000000013,0.0,-2.6666666666666665,-4.599999999999999,-1.625000000000001,avg_delay,-2.6082616407597476,2,Average Delay | Handover Failure,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_20260706_152600/u20/learned_baselines/attn_mappo/training_history.json,attn_mappo_train_eval
han_pdqn,HAN+PDQN,False,3,-25.935267849480088,2.257060024356429,2.6127071266444277,476.011086372409,0.7661209649883632,0.2338790350116368,0.0008438818565400844,12000.0,331.0,327.3999999999994,658.4000000000016,545.6666666666666,125.66666666666667,0.9451333333333333,0.9724166666666667,0.8351010890311056,0.8348355248540328,0.16484726028901564,0.9996827851430483,0.9996827851430483,0.00031721485695166313,0.16484726028901564,0.04547222222222222,0.0060674040122724125,0.9526108835626605,869,0.9526108835626605,0.9526108835626605,0.9526108835626605,0.11315635967648391,0.13549988225801565,0.042555555555555555,0.00938888888888889,0.9733479619026184,-750.5042497212006,-9.485558031197328,462.04999999999524,878.25,128.49122548395334,-4.9380000000000015,28.54326455150216,0.04960217652649074,0.0,-125.06248571779365,-416.20000000000437,-101.29999999999939,-0.6666666666666666,-2.3333333333333335,-37.3,-12.638333333333293,avg_delay,-2.6127071266444277,3,Task Success | Deadline Violation | Energy per Successful Task,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_20260706_152600/u20/learned_baselines/han_pdqn/training_history.json,han_pdqn_train_eval
mappo_no_han,MAPPO,False,3,-30.120998449922457,2.538418485643277,2.6441583697388187,1002.1575754311783,0.7337472083922388,0.2662527916077612,0.0,12000.0,145.33333333333334,32.80000000000003,178.13333333333313,54.666666666666664,14.666666666666666,0.9851555555555556,0.9878888888888889,0.8290361874193809,0.828970669298763,0.17095004113574394,0.9999207104345068,0.9999207104345068,7.92895654931811e-05,0.17095004113574394,0.004555555555555556,0.00554512191700951,0.9566016218551779,732,0.9566016218551779,0.9566016218551779,0.9566016218551779,0.23817418413162755,0.2872883637165346,0.0012777777777777779,0.0,0.7546687722206116,-753.6388552310618,-21.551421125822344,440.4833333333295,872.0833333333334,134.16970975483187,-1.335999999999997,2.547760198713098,0.011036035142038955,0.0,-156.79979520997142,-431.6000000000049,-212.30000000000234,0.0,-2.6666666666666665,-4.3999999999999995,-1.2016666666666673,avg_delay,-2.6441583697388187,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_20260706_152600/u20/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_train_eval
maddpg,MADDPG,False,3,-28.993906437269157,9.34538163920263,2.6580166111785526,482.5642388426083,0.7584247082375812,0.24157529176241885,0.0,12000.0,495.6666666666667,123.79999999999971,619.4666666666659,206.33333333333334,51.333333333333336,0.9483777777777779,0.9586944444444444,0.8199631356832771,0.8193758133517023,0.1799117649824793,0.9992875783341816,0.9992875783341816,0.0007124216658184575,0.1799117649824793,0.017194444444444446,0.006046578926694751,0.9527696956386529,881,0.9527696956386529,0.9527696956386529,0.9527696956386529,0.11475962873783788,0.13995482565040843,0.014361111111111111,0.009083333333333334,0.9873027205467224,-736.2924038508445,-9.286845718171877,407.79999999999654,862.0,126.82369976632593,-4.64600000000001,9.59346904193976,0.03098774604312991,0.0,-140.3562413202347,-454.20000000000573,-122.29999999999986,0.0,-2.6666666666666665,-15.400000000000015,-4.671666666666663,avg_delay,-2.6580166111785526,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_20260706_152600/u20/learned_baselines/maddpg/training_history.json,maddpg_train_eval
pdqn,PDQN,False,3,-35.98739586998378,5.148832385116567,2.68838637658585,494.6806326059721,0.7589545270863937,0.24104547291360645,0.0015785125104042473,12000.0,594.3333333333334,534.0000000000007,1128.3333333333374,890.0,215.33333333333334,0.9059722222222218,0.9504722222222223,0.8134473261682889,0.8128045590871799,0.18640271422863766,0.9992072733158174,0.9992072733158174,0.000792726684182503,0.18640271422863766,0.07416666666666667,0.006032874430878586,0.952874220200912,873,0.952874220200912,0.952874220200912,0.952874220200912,0.11765038035658128,0.14462936339712662,0.07275,0.004638888888888889,0.9682048559188843,-744.6010561940057,-9.343196094188118,384.48333333332886,855.0833333333334,124.8248468095618,-8.46249999999999,43.979500344516765,0.02936699438316767,0.0,-149.84382602329057,-470.60000000000645,-111.29999999999929,-1.3333333333333333,-2.6666666666666665,-63.79999999999975,-20.291666666666682,avg_delay,-2.68838637658585,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_20260706_152600/u20/learned_baselines/pdqn/training_history.json,pdqn_train_eval
min_distance,Min-Distance,False,3,-37.32472519451901,1.7736536997942602,2.7861416071944274,678.8161079085403,0.7121693121693121,0.2878306878306878,0.0,12000.0,145.0,36.60000000000003,181.59999999999982,61.0,18.0,0.9848666666666667,0.9879166666666667,0.8142723708973459,0.8140789690325403,0.1856831245409942,0.9997620935735346,0.9997620935735346,0.00023790642646550245,0.1856831245409942,0.005083333333333333,0.0059434557674117655,0.9535564935654156,1044,0.9535564935654156,0.9535564935654156,0.9535564935654156,0.1613539595694177,0.19815591356676276,0.005083333333333333,0.0,1.0,-781.3056624156139,-10.238244513218067,387.6166666666627,856.4166666666666,125.89108604476256,-1.3619999999999977,2.537819194883569,0.020502731529549553,0.0,-175.17498096333716,-468.8000000000063,-259.0000000000041,0.0,-2.6666666666666665,-5.399999999999999,-1.2933333333333341,avg_delay,-2.7861416071944274,0,,1.0,min_distance(best_offload=1.00),,heuristic_eval
han_maddpg,HAN+MADDPG,False,3,-42.77388525305724,5.640110999567181,2.8429984973676774,634.551767188876,0.7328385899814472,0.26716141001855287,0.0,12000.0,852.3333333333334,72.40000000000005,924.733333333334,120.66666666666667,32.666666666666664,0.922938888888889,0.9289722222222222,0.7749132896687483,0.7748518275216209,0.22506888291288607,0.9999207104345068,0.9999207104345068,7.92895654931811e-05,0.22506888291288607,0.010055555555555555,0.005827744316239674,0.9544400914622009,831,0.9544400914622009,0.9544400914622009,0.9544400914622009,0.1508084687924129,0.19460798421249523,0.007083333333333333,0.07522222222222222,0.8736720681190491,-731.64646982529,-10.7396952145441,246.96666666666943,815.1666666666666,120.15397222937877,-6.935500000000002,5.396511474554707,0.022066813309895003,0.0,-197.75569055702147,-568.2000000000102,-133.99999999999943,0.0,-2.6666666666666665,-9.800000000000002,-2.6566666666666645,avg_delay,-2.8429984973676774,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_20260706_152600/u20/learned_baselines/han_maddpg/training_history.json,han_maddpg_train_eval
random,Random,False,3,-136.83455816449546,3.8890658099938267,3.1330940701204546,419.89674012364793,0.7420627925328561,0.2579372074671438,0.000990984160624782,12000.0,3138.6666666666665,4235.199999999997,7373.866666666669,7058.666666666667,1819.6666666666667,0.38551111111111086,0.7384444444444443,0.6660991500695315,0.6649938053125892,0.3333421473157303,0.9983359526283194,0.9983359526283194,0.001664047371680467,0.3333421473157303,0.5882222222222222,0.005945814620800994,0.9535384891555263,853,0.9535384891555263,0.9535384891555263,0.9535384891555263,0.09995161631127063,0.15005243840035065,0.58725,0.0,1.0,-806.3970696410106,-7.0828376941122935,-142.0166666666623,699.5833333333334,95.03313363637095,-55.30400000000015,330.2125813426174,0.6095579184923697,0.0,-301.15513868463813,-841.6000000000204,-91.49999999999949,-9.5,-1.6666666666666667,-540.2000000000094,-157.95833333333795,avg_delay,-3.1330940701204546,0,,1.0,random(best_offload=1.00),,heuristic_eval
joint_greedy,Joint Greedy,False,3,-105.43510083579217,4.3069891301645775,4.2181705995989365,2083.835125359701,0.7664970706136294,0.23350292938637063,0.0,12000.0,684.0,28.200000000000017,712.2000000000003,47.0,11.0,0.9406499999999999,0.9430000000000001,0.5677929450078283,0.5675693222604994,0.43203469990848414,0.9996040221689836,0.9996040221689836,0.0003959778310164324,0.43203469990848414,0.003916666666666666,0.0,1.0,0.0,1.0,1.0,1.0,0.4954041822711074,0.8725059841003633,0.00047222222222222224,0.9578333333333333,0.04213888943195343,-959.8727307130722,-20.95112222465752,-493.7166666666808,597.0833333333334,84.9584879419187,-5.341499999999967,2.298318447273101,0.0,0.0,-608.5849505764004,-1090.8000000000172,0.0,0.0,-2.6666666666666665,-3.2999999999999994,-1.0800000000000007,avg_delay,-4.2181705995989365,0,,,,,heuristic_eval
