method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,total_user_seconds,blocked_user_seconds,handover_interruption_seconds,service_interruption_seconds,total_handovers,failed_handovers,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,load_balance_variance,load_balance_coefficient,load_variance_sample_count,mec_load_fairness,active_load_balance_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,energy_per_successful_task,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
han_mappo_latency_priority_multiuser_u20,HAN+MAPPO,1,-23.08048215493293,2.5291448923297097,854.3729027917041,0.7457627118644068,0.2542372881355932,0.0,12000.0,165.0,35.40000000000003,200.3999999999998,59.0,15.0,0.9833000000000001,0.98625,0.8413564145126867,0.8413564145126867,0.15864358548731325,1.0,1.0,0.0,0.004916666666666666,0.0055414109428690754,0.9566300356374884,249.0,0.9566300356374884,0.9566300356374884,0.9566300356374884,0.15864358548731325,4217.0,3548.0,669.0,0.24080408759630892,-739.9585653172596,-19.766272548043148,485.59999999999536,887.0,138.01212042658983,-1.5029999999999966,2.7590247418668117,0.0,0.0,-132.60394157373344,-401.4000000000038,-156.3000000000002,0.0,-3.0,-4.499999999999999,-1.320000000000001,
han_mappo_latency_priority_multiuser_u20,HAN+MAPPO,2,-31.34313387755081,2.692282042186563,988.0306494162527,0.7843137254901961,0.21568627450980393,0.0,12000.0,151.0,30.60000000000003,181.59999999999988,51.0,11.0,0.9848666666666667,0.9874166666666667,0.8256007613609326,0.8254043767840152,0.17435775451950522,0.9997621313035204,0.9997621313035204,0.0002378686964795433,0.00425,0.005812863353308728,0.954553783753396,260.0,0.954553783753396,0.954553783753396,0.954553783753396,0.17435775451950522,4203.0,3470.0,733.0,0.28473505746866073,-753.4824812053284,-20.2815809357953,427.69999999999675,867.5,133.3239979347075,-1.3619999999999974,2.55452117380241,0.03310810542611686,0.0,-160.21817035670168,-439.80000000000524,-221.10000000000267,0.0,-3.0,-3.2999999999999994,-1.2050000000000007,
han_mappo_latency_priority_multiuser_u20,HAN+MAPPO,3,-33.49575144773793,2.69489302547665,997.240978788774,0.7068965517241379,0.29310344827586204,0.0,12000.0,109.0,34.80000000000004,143.79999999999976,58.0,17.0,0.9880166666666667,0.9909166666666667,0.8248869854865573,0.8248869854865573,0.17511301451344277,1.0,1.0,0.0,0.004833333333333334,0.0055215412469424505,0.9567821857993077,265.0,0.9567821857993077,0.9567821857993077,0.9567821857993077,0.17511301451344277,4203.0,3467.0,736.0,0.2876380094573908,-768.3650102676786,-20.497385773282446,425.149999999997,866.75,130.3383697250662,-1.0784999999999976,2.6132389177056985,0.0,0.0,-167.50719805555704,-441.6000000000053,-241.80000000000345,0.0,-2.0,-5.099999999999999,-1.2300000000000009,
attn_mappo,Attn+MAPPO,1,-21.93822891142658,2.5242599243282036,821.6871823601821,0.7631578947368421,0.23684210526315788,0.0,12000.0,167.0,45.600000000000044,212.59999999999977,76.0,18.0,0.9822833333333334,0.9860833333333333,0.8425420915342661,0.8425420915342661,0.15745790846573393,1.0,1.0,0.0,0.006333333333333333,0.005524300938429279,0.9567610523293407,251.0,0.9567610523293407,0.9567610523293407,0.9567610523293407,0.15745790846573393,4217.0,3553.0,664.0,0.2312657422910729,-740.1175450626749,-19.204740270488397,489.84999999999513,888.25,137.44069739155108,-1.5944999999999956,3.5381142679517934,0.0,0.0,-128.26310458776493,-398.4000000000037,-139.49999999999957,0.0,-3.0,-5.399999999999999,-1.7400000000000013,
attn_mappo,Attn+MAPPO,2,-28.72709862428643,2.6620842246429524,939.8963982946283,0.8245614035087719,0.17543859649122806,0.0,12000.0,152.0,34.20000000000003,186.1999999999999,57.0,10.0,0.9844833333333334,0.9873333333333333,0.8303592671901023,0.8301617507136061,0.16960038058991436,0.9997621313035204,0.9997621313035204,0.0002378686964795433,0.00475,0.005810443565448712,0.9545722724650051,258.0,0.9545722724650051,0.9545722724650051,0.9545722724650051,0.16960038058991436,4203.0,3490.0,713.0,0.2693112889096356,-749.1271398527296,-19.66203408176073,444.69999999999413,872.5,133.87761508508257,-1.396499999999998,2.9537413563970607,0.06510810283212273,0.0,-149.45211042430745,-427.8000000000048,-201.90000000000194,0.0,-3.0,-2.9999999999999996,-1.4200000000000008,
attn_mappo,Attn+MAPPO,3,-29.7963623975682,2.638440773308088,939.2024784930395,0.76,0.24,0.0,12000.0,110.0,45.000000000000036,154.99999999999974,75.0,18.0,0.9870833333333333,0.9908333333333333,0.8317467872441694,0.8315488936473947,0.1682131810611468,0.9997620747085415,0.9997620747085415,0.00023792529145848205,0.00625,0.005594819768655449,0.9562211802749411,254.0,0.9562211802749411,0.9562211802749411,0.9562211802749411,0.1682131810611468,4202.0,3495.0,707.0,0.26872746165752204,-759.4602506575841,-19.974611519309022,449.54999999999734,873.75,132.36465413180505,-1.1624999999999968,3.4736527306945852,0.006276900936639862,0.0,-154.7321201906451,-424.20000000000465,-214.80000000000243,0.0,-2.0,-5.399999999999999,-1.7150000000000012,
han_pdqn,HAN+PDQN,1,-23.952476800372118,2.5344532323225297,404.32980370947433,0.7792378449408672,0.22076215505913271,0.0,12000.0,427.0,456.59999999999985,883.6000000000023,761.0,168.0,0.9263666666666664,0.9644166666666667,0.8380365188522646,0.8380365188522646,0.16196348114773534,1.0,1.0,0.0,0.06341666666666666,0.005928203111447252,0.9536729204567912,237.0,0.9536729204567912,0.9536729204567912,0.9536729204567912,0.16196348114773534,4217.0,3534.0,683.0,0.11441137626187729,-743.1759855626431,-9.187862579511972,473.69999999999595,883.5,130.88078428126812,-6.626999999999996,41.07409246272384,0.03081570340119022,0.0,-117.16295664025526,-409.8000000000041,-50.99999999999987,0.0,-3.0,-50.39999999999988,-17.824999999999925,
han_pdqn,HAN+PDQN,2,-29.09297006331072,2.6837881620206328,529.5961950427472,0.7780082987551867,0.22199170124481327,0.0,12000.0,308.0,289.19999999999925,597.2000000000007,482.0,107.0,0.9502333333333333,0.9743333333333334,0.8265524625267666,0.8263558515699334,0.17340627973358705,0.9997621313035204,0.9997621313035204,0.0002378686964795433,0.04016666666666667,0.00620115259104835,0.9515915324475787,304.0,0.9515915324475787,0.9515915324475787,0.9515915324475787,0.17340627973358705,4203.0,3474.0,729.0,0.15244565199848797,-755.4723385007786,-9.616117303234926,431.0999999999933,868.5,127.09426608549055,-4.4789999999999965,25.81250349968821,0.10739162274397437,0.0,-137.6512221007895,-437.40000000000515,-125.99999999999916,-1.5,-3.0,-31.200000000000053,-11.304999999999954,
han_pdqn,HAN+PDQN,3,-24.760356684757422,2.6198799855901207,494.1072603650054,0.7411167512690355,0.25888324873096447,0.002531645569620253,12000.0,258.0,236.39999999999912,494.4000000000017,394.0,102.0,0.9587999999999999,0.9785,0.8407142857142857,0.8401142041399001,0.15917201998572447,0.9992862241256245,0.9992862241256245,0.0007137758743754461,0.03283333333333333,0.00604402305357631,0.9527891885036377,328.0,0.9527891885036377,0.9527891885036377,0.9527891885036377,0.15917201998572447,4200.0,3531.0,669.0,0.13993408676437422,-752.8644251001803,-9.652694210845087,481.3499999999965,882.75,127.49862608510134,-3.70800000000001,18.743197692094427,0.010599203434307631,0.0,-120.37327841233613,-401.4000000000038,-126.89999999999915,-0.5,-1.0,-30.30000000000005,-8.785000000000004,
mappo_no_han,MAPPO,1,-26.71100658932746,2.5726210467000015,943.6736372793495,0.7272727272727273,0.2727272727272727,0.0,12000.0,166.0,33.00000000000003,198.99999999999983,55.0,15.0,0.9834166666666667,0.9861666666666666,0.8344794877875267,0.8344794877875267,0.16552051221247333,1.0,1.0,0.0,0.004583333333333333,0.005412997511220245,0.9576137662220384,243.0,0.9576137662220384,0.9576137662220384,0.9576137662220384,0.16552051221247333,4217.0,3519.0,698.0,0.26816528481936613,-745.9825334635241,-21.277821767456214,460.9499999999947,879.75,136.97322115619755,-1.4924999999999966,2.5362256917575485,0.0,0.0,-145.089438347272,-418.80000000000445,-183.30000000000123,0.0,-3.0,-4.499999999999999,-1.2000000000000008,
mappo_no_han,MAPPO,2,-30.854233480929306,2.681263712934209,1031.5971109264992,0.7843137254901961,0.21568627450980393,0.0,12000.0,151.0,30.60000000000003,181.59999999999988,51.0,11.0,0.9848666666666667,0.9874166666666667,0.8263145372353081,0.8261179828734538,0.1736441484300666,0.9997621313035204,0.9997621313035204,0.0002378686964795433,0.00425,0.005753103622386287,0.9550104883115661,242.0,0.9550104883115661,0.9550104883115661,0.9550104883115661,0.1736441484300666,4203.0,3473.0,730.0,0.2970334324579612,-751.1196536262655,-21.595206365557427,430.2499999999966,868.25,134.15053853907014,-1.3619999999999974,2.55452117380241,0.03310810542611686,0.0,-159.3659760927315,-438.0000000000052,-216.6000000000025,0.0,-3.0,-3.2999999999999994,-1.2050000000000007,
mappo_no_han,MAPPO,3,-32.7977552795106,2.6785903495822456,1031.201978087686,0.6896551724137931,0.3103448275862069,0.0,12000.0,119.0,34.80000000000004,153.79999999999976,58.0,18.0,0.9871833333333333,0.9900833333333333,0.8263145372353081,0.8263145372353081,0.17368546276469188,1.0,1.0,0.0,0.004833333333333334,0.005471335106910765,0.9571667396295471,247.0,0.9571667396295471,0.9571667396295471,0.9571667396295471,0.17368546276469188,4203.0,3473.0,730.0,0.296919659685484,-763.814378603396,-21.7812352444534,430.24999999999727,868.25,131.38536956922786,-1.1534999999999973,2.5525337305793343,0.0,0.0,-165.94397118991074,-438.0000000000052,-237.00000000000327,0.0,-2.0,-5.399999999999999,-1.2000000000000008,
maddpg,MADDPG,1,-20.997159861402192,2.545246664456174,387.167472997908,0.7560975609756098,0.24390243902439024,0.0,12000.0,440.0,73.80000000000003,513.800000000001,123.0,30.0,0.9571833333333333,0.9633333333333334,0.8333333333333334,0.8323452691486839,0.16646905382973678,0.9988143229784207,0.9988143229784207,0.0011856770215793219,0.01025,0.005950175077624195,0.9535052079896439,254.0,0.9535052079896439,0.9535052079896439,0.9535052079896439,0.16646905382973678,4212.0,3510.0,702.0,0.11030412336122736,-723.2324350021107,-8.76576417701988,456.2999999999953,877.5,131.03491402204088,-3.8535000000000026,5.601018178352897,0.029016792809781686,0.0,-119.89133899118812,-421.20000000000454,-68.6999999999997,0.0,-3.0,-9.0,-2.8049999999999966,
maddpg,MADDPG,2,-23.879471698883943,2.665089789915777,531.6499810242967,0.7733333333333333,0.22666666666666666,0.0,12000.0,177.0,45.00000000000006,221.99999999999986,75.0,17.0,0.9815,0.98525,0.8379343169919086,0.8375356803044719,0.161988582302569,0.9995242626070409,0.9995242626070409,0.0004757373929590866,0.00625,0.006221947582790381,0.9514331411380756,316.0,0.9514331411380756,0.9514331411380756,0.9514331411380756,0.161988582302569,4202.0,3521.0,681.0,0.15099403039599452,-751.9267377250924,-9.511977926222038,471.6499999999926,880.25,129.56924036285633,-1.6649999999999991,3.5069909423620764,0.032792601679737465,0.0,-132.20585766392813,-408.60000000000406,-144.89999999999978,0.0,-3.0,-5.099999999999999,-1.7550000000000012,
maddpg,MADDPG,3,-42.10508775152133,2.7637133791637054,528.8752625056201,0.7458432304038005,0.25415676959619954,0.0,12000.0,870.0,252.59999999999903,1122.599999999997,421.0,107.0,0.9064500000000002,0.9275,0.7886217567245893,0.788246490601951,0.21127765881513205,0.999524149417083,0.999524149417083,0.0004758505829169641,0.035083333333333334,0.005947125815240418,0.9535284813510001,311.0,0.9535284813510001,0.9535284813510001,0.9535284813510001,0.21127765881513205,4201.0,3313.0,888.0,0.1596363605510474,-733.7180388253304,-9.582795051273713,295.45000000000164,828.25,119.86694491408055,-8.419500000000028,19.672398005104306,0.031153843639870574,0.0,-168.9715273055878,-532.8000000000087,-153.3000000000001,0.0,-2.0,-32.10000000000005,-9.454999999999991,
pdqn,PDQN,1,-30.895400944945877,2.6202913418503413,465.79885174063656,0.7754077791718946,0.2245922208281054,0.0025031289111389237,12000.0,467.0,478.19999999999993,945.2000000000029,797.0,179.0,0.9212333333333331,0.9610833333333333,0.8237666034155597,0.8235712591889969,0.1761916054066872,0.9997628645956841,0.9997628645956841,0.00023713540431586437,0.06641666666666667,0.005825785762360579,0.9544550542862617,278.0,0.9544550542862617,0.9544550542862617,0.9544550542862617,0.1761916054066872,4216.0,3473.0,743.0,0.13412002641538628,-749.9130680423506,-9.408618524397289,422.4499999999964,868.25,127.86351098958664,-7.088999999999992,41.27206221249319,0.08450801462506471,0.0,-138.23302259283355,-445.80000000000547,-93.59999999999947,-1.0,-3.0,-53.09999999999985,-18.59999999999995,
pdqn,PDQN,2,-34.025688466655936,2.7113696188121548,516.2598007631753,0.7510148849797023,0.2489851150202977,0.0013513513513513514,12000.0,544.0,443.4000000000011,987.4000000000038,739.0,184.0,0.9177166666666663,0.9546666666666667,0.8182900690640629,0.8173168411037107,0.18149381541389153,0.9988106565176023,0.9988106565176023,0.0011893434823977164,0.06158333333333333,0.006326427326826616,0.9506377286743036,291.0,0.9506377286743036,0.9506377286743036,0.9506377286743036,0.18149381541389153,4199.0,3436.0,763.0,0.15025023305098234,-742.7048049193307,-9.25730990653456,401.1999999999941,859.0,125.53795834717478,-7.405499999999976,36.118458122352344,-0.0056533058333659465,0.0,-144.3785331016144,-457.8000000000059,-122.69999999999919,-0.5,-3.0,-54.899999999999835,-16.66499999999988,
