method,display_name,is_system,episodes,mean_reward,std_reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,deadline_violation_rate,handover_frequency,active_load_balance_score,avg_load_balance_score,mec_activity_score,energy_per_resolved_task,handover_action_rate,local_compute_rate,mean_offload_ratio,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selection_metric,selection_score,primary_metric_win_count,primary_metric_wins_text,selected_offload,method_variant,training_history,source
han_mappo_latency_priority_multiuser_u35,HAN+MAPPO,True,3,-60.552713190129225,8.268505682882108,2.901363578512553,2100.7867774933147,0.7250530519916237,0.27494694800837644,0.0014663530544458032,0.8712317460317465,0.9484603174603174,0.7776018857635845,0.7772477048572556,0.22229817593671272,0.9995458807939683,0.9995458807939683,0.0004541192060317577,0.22229817593671272,0.12871428571428573,0.052665468959552264,0.052665468959552264,0.10168349905353453,0.2865751333430313,0.126,0.0001746031746031746,0.7093819975852966,-1944.1381722723745,-6.692584580267884,976.2666666666188,2280.2666666669106,530.845718278762,-11.589142857142898,119.02450964632129,0.07100040862139424,0.0,-562.8068030940717,-1303.9999999999602,-537.700000000002,-4.0,-3.3333333333333335,-220.50000000000264,-58.83666666666812,avg_delay,-2.901363578512553,0,,,,/home/pjpjq/LEO_switch/results/full_train_latency_priority_multiuser_u35_multiuser_6_7/training_history.json,checkpoint_eval
attn_mappo,Attn+MAPPO,False,3,-50.76209934963674,6.973422764657323,2.8493327224902854,2043.7234775342695,0.7272503221185094,0.27274967788149057,0.00028093833403567916,0.8942444444444445,0.956873015873016,0.788847701550809,0.7885617689634249,0.21107446603369598,0.9996362349971207,0.9996362349971207,0.0003637650028791735,0.21107446603369598,0.1043809523809524,0.0482105618991859,0.0482105618991859,0.09600168094038963,0.2787655920979726,0.10311111111111111,0.0,0.6907088160514832,-1924.5333027680902,-6.744445183624137,1075.3333333332962,2313.4666666669186,538.6500301166197,-9.518000000000017,90.58724783092698,0.009996264822678673,0.0,-507.96910150254365,-1238.1333333332973,-476.40000000000964,-0.3333333333333333,-5.0,-178.90000000000109,-47.86000000000106,avg_delay,-2.8493327224902854,3,Average Delay | Task Success | Deadline Violation,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u35/learned_baselines/attn_mappo/training_history.json,attn_mappo_train_eval
pdqn,PDQN,False,3,-58.564608519629644,13.216125497127418,2.98404834174058,1366.8343753991712,0.7239105478709483,0.2760894521290517,0.0006756536427253102,0.888961904761905,0.9354285714285714,0.7622428442257091,0.7614197345759219,0.2374872952872782,0.9989070298632002,0.9989070298632002,0.0010929701367998273,0.2374872952872782,0.07744444444444444,0.18261920720718025,0.18261920720718025,0.16955667495106655,0.18657307881506568,0.07555555555555556,0.021793650793650792,0.9510946869850159,-1899.7063063528803,-3.420835029242833,841.1999999999575,2234.0000000002337,495.893712507522,-9.993428571428602,78.22573356291731,0.025331248549996414,0.0,-565.1154190236313,-1392.799999999955,-469.90000000000947,-2.3333333333333335,-5.333333333333333,-134.4999999999999,-35.31500000000056,avg_delay,-2.98404834174058,2,Energy per Resolved Task | Active Load Balance,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u35/learned_baselines/pdqn/training_history.json,pdqn_train_eval
han_pdqn,HAN+PDQN,False,3,-60.93219004407545,10.305485513729403,3.016046786438114,1415.2739478682313,0.71100194060283,0.28899805939716994,0.0033313848043876847,0.8872984126984127,0.9323650793650794,0.7550664983242438,0.7544499988290695,0.24473171132653196,0.9991817101556015,0.9991817101556015,0.0008182898443985197,0.24473171132653196,0.07511111111111111,0.15954798184253557,0.15954798184253557,0.16035353247490194,0.19313236188158178,0.0723015873015873,0.036349206349206346,0.906387209892273,-1902.7729702343775,-3.618723642975096,777.9999999999418,2213.466666666896,488.6905599063868,-10.14314285714287,70.96135618899302,0.08512097161558674,0.0,-592.1436561246876,-1435.4666666666192,-442.30000000001104,-3.5,-3.0,-134.59999999999982,-33.773333333333845,avg_delay,-3.016046786438114,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u35/learned_baselines/han_pdqn/training_history.json,han_pdqn_train_eval
mappo_no_han,MAPPO,False,3,-69.30819283297372,1.7619238021868118,3.126780965681616,2476.6305108659967,0.7352550412474351,0.2647449587525649,0.0,0.9815365079365078,0.984079365079365,0.756690245884646,0.7566558795103115,0.2432985520230673,0.9999544315333789,0.9999544315333789,4.5568466621098194e-05,0.2432985520230673,0.004238095238095238,0.028806621385997055,0.028806621385997055,0.10155723642350899,0.3377069920729962,0.0012063492063492064,0.0,0.7411145567893982,-2027.3547580610193,-6.598250770520136,792.2666666666108,2219.733333333564,516.6124166250123,-1.6617142857142888,4.121031845136224,0.002720812170820003,0.0,-717.8889303240561,-1427.4666666666199,-913.1999999999529,0.0,-5.666666666666667,-7.099999999999998,-1.9650000000000014,avg_delay,-3.126780965681616,1,Service Continuity,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u35/learned_baselines/mappo_no_han/training_history.json,mappo_no_han_train_eval
maddpg,MADDPG,False,3,-67.4791130865198,1.1010250848985066,3.155740956725283,1714.2443499230078,0.7268744815963668,0.27312551840363314,0.0,0.9253174603174603,0.939984126984127,0.7347251134230445,0.7342571440370497,0.26510630063623913,0.9993634446732887,0.9993634446732887,0.000636555326711186,0.26510630063623913,0.024444444444444446,0.09081151342987409,0.09081151342987409,0.1440656536569198,0.23388816853597524,0.02068253968253968,0.12258730158730159,0.8519708514213562,-1946.989748687145,-3.847609095563294,598.5333333332694,2154.0000000002156,482.543432430766,-6.721428571428572,22.93988425555411,0.04434221014548593,0.0,-707.2376128635915,-1555.4666666666126,-515.8000000000094,0.0,-5.666666666666667,-39.59999999999993,-11.45999999999996,avg_delay,-3.155740956725283,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u35/learned_baselines/maddpg/training_history.json,maddpg_train_eval
han_maddpg,HAN+MADDPG,False,3,-75.27749705972128,8.118118596353105,3.2193104995973445,1620.7273537434996,0.7421486910782051,0.2578513089217948,0.0,0.8850253968253972,0.8978253968253967,0.7026252587689926,0.7022495601257274,0.29720569679068976,0.9994552569164171,0.9994552569164171,0.0005447430835828715,0.29720569679068976,0.021333333333333333,0.06865543639252936,0.06865543639252936,0.1300224441310598,0.22110877950115956,0.018174603174603173,0.17136507936507936,0.8128454089164734,-1860.024383343313,-3.6091098064393567,316.39999999998025,2060.1333333335274,462.68969505190995,-10.347714285714298,20.67332509264797,-0.0024143812531949417,0.0,-762.5573622310159,-1743.7333333332688,-396.70000000000795,0.0,-5.666666666666667,-34.49999999999997,-10.03333333333329,avg_delay,-3.2193104995973445,0,,,,/home/pjpjq/LEO_switch/results/baseline_compare/multiuser_scaling_multiuser_6_7/u35/learned_baselines/han_maddpg/training_history.json,han_maddpg_train_eval
min_distance,Min-Distance,False,3,-78.17569552754584,2.9571813315570514,3.2407736364109625,2123.4155721618063,0.6744666521042668,0.32553334789573324,0.0,0.9810063492063491,0.984111111111111,0.7449751402118489,0.7448738000993577,0.2549903583579662,0.9998641584573238,0.9998641584573238,0.00013584154267616476,0.2549903583579662,0.005174603174603175,0.08633010828908239,0.08633010828908239,0.14701178165980514,0.28956983119620977,0.005174603174603175,0.0,1.0,-2078.763274317264,-4.32873264361746,689.1999999999456,2185.2000000002226,491.8910421495296,-1.7094285714285735,4.310801125412443,0.013297603262216226,0.0,-765.5068670875472,-1495.999999999949,-993.5999999999407,0.0,-5.666666666666667,-10.600000000000003,-2.2050000000000005,avg_delay,-3.2407736364109625,0,,1.0,min_distance(best_offload=1.00),,heuristic_eval
random,Random,False,3,-203.62844586406607,8.597029434389707,3.59240353392314,1393.9393111786349,0.6982246760014988,0.30177532399850115,0.0007612313321272196,0.33832063492063486,0.6883968253968255,0.5754213936746794,0.573879241133486,0.42343880343719653,0.9973180445706826,0.9973180445706826,0.0026819554293174147,0.42343880343719653,0.5834603174603176,0.09305275388633533,0.09305275388633533,0.15352132107234664,0.19057639946843663,0.5826984126984127,0.0,1.0,-2085.287044010522,-2.5814381222696214,-800.2666666666828,1683.733333333442,344.7179941750729,-59.55114285714273,536.3792492066517,0.7843427318631829,0.0,-1118.8411084002291,-2484.000000000017,-539.9000000000052,-11.333333333333334,-4.666666666666667,-1101.9999999999243,-258.11000000000394,avg_delay,-3.59240353392314,0,,1.0,random(best_offload=1.00),,heuristic_eval
joint_greedy,Joint Greedy,False,3,-128.49406632366853,5.378197869828752,4.191651717887808,3597.2885792492016,0.8312189404594467,0.16878105954055322,0.0,0.9379587301587301,0.940111111111111,0.5708050156270194,0.5706778306733257,0.4290947589221625,0.9997725895954881,0.9997725895954881,0.00022741040451192606,0.4290947589221625,0.003587301587301587,0.0,0.0,0.0,0.4906062525684232,0.00042857142857142855,0.9555873015873015,0.044257935136556625,-2330.841488413707,-6.1016990482240105,-843.4666666666798,1674.1333333334399,371.02394279645836,-5.583714285714304,3.9587789684962034,0.0,0.0,-1485.0885222980944,-2517.6000000000245,0.0,0.0,-5.666666666666667,-3.7999999999999994,-1.8800000000000014,avg_delay,-4.191651717887808,1,Handover Failure,,,,heuristic_eval
