method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,service_continuity_rate,task_completion_rate,task_resolution_rate,pending_task_rate,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,selected_offload
han_mappo_delay_focus_fast,HAN+MAPPO,1,41.89608802485596,2.131961380061102,131.21482522098034,1.0,1.0,0.5447427293064877,0.9977678571428571,0.002232142857142857,0.4535334110334115,0.4552572706935123,894.0,487.0,407.0,
han_mappo_delay_focus_fast,HAN+MAPPO,2,43.17186351613054,2.130802994587499,141.391798205678,0.8333333333333334,1.0,0.5426966292134832,1.0,0.0,0.46381565656565743,0.45730337078651684,890.0,483.0,407.0,
max_rvt,Max-RVT,1,42.218906847635786,2.113951388710714,100.0170578696229,0.8666666666666667,1.0,0.5487122060470325,0.9966517857142857,0.0033482142857142855,0.4543999758029536,0.45128779395296753,893.0,490.0,403.0,1.0
max_rvt,Max-RVT,2,43.20623803561969,2.125752516069048,108.58840638561638,0.7647058823529411,1.0,0.5422773393461104,1.0,0.0,0.4536056373199721,0.4577226606538895,887.0,481.0,406.0,1.0
stay,Stay,1,40.88097989094897,2.1610959940797945,82.41590976384815,1.0,1.0,0.5375139977603584,0.9966517857142857,0.0033482142857142855,0.452418692418693,0.46248600223964165,893.0,480.0,413.0,1.0
stay,Stay,2,42.51690700128324,2.157749151438446,88.56231335090278,0.8333333333333334,1.0,0.5393258426966292,1.0,0.0,0.4576411643911652,0.4606741573033708,890.0,480.0,410.0,1.0
threshold_rvt_adaptive,Threshold-RVT Adaptive,1,48.295140350606,3.749138958841273,419.90356339022264,1.0,1.0,0.6283482142857143,1.0,0.0,0.47891666666666666,0.3716517857142857,896.0,563.0,333.0,
threshold_rvt_adaptive,Threshold-RVT Adaptive,2,33.21858154687105,4.076468451003326,453.3402901418856,0.8333333333333334,1.0,0.5584269662921348,1.0,0.0,0.47724999999999995,0.44157303370786516,890.0,497.0,393.0,
joint_greedy,Joint Greedy,1,48.06938582691176,3.749138958841273,419.90356339022264,0.6,1.0,0.6283482142857143,1.0,0.0,0.43067857142857235,0.3716517857142857,896.0,563.0,333.0,
joint_greedy,Joint Greedy,2,33.22986455413956,4.0779507372650095,454.1817633628905,1.0,1.0,0.5578002244668911,1.0,0.0,0.43016666666666764,0.44219977553310885,891.0,497.0,394.0,
max_elev,Max-Elev,1,48.10067051103424,3.7508641461399703,419.6279263494092,0.8571428571428571,1.0,0.6279329608938548,1.0,0.0,0.6553333333333334,0.37206703910614525,895.0,562.0,333.0,0.0
max_elev,Max-Elev,2,33.138711910739545,4.079005924567544,453.2795333675683,0.8571428571428571,1.0,0.5579302587176603,1.0,0.0,0.6533333333333334,0.4420697412823397,889.0,496.0,393.0,0.0
min_distance,Min-Distance,1,48.10067051103424,3.7508641461399703,419.6279263494092,0.8571428571428571,1.0,0.6279329608938548,1.0,0.0,0.6553333333333334,0.37206703910614525,895.0,562.0,333.0,0.0
min_distance,Min-Distance,2,33.138711910739545,4.079005924567544,453.2795333675683,0.8571428571428571,1.0,0.5579302587176603,1.0,0.0,0.6533333333333334,0.4420697412823397,889.0,496.0,393.0,0.0
random,Random,1,40.59773932036473,3.6771360545009326,357.6014813002157,0.8317991631799163,0.9991638795986622,0.6259640102827764,0.9987163029525032,0.0012836970474967907,0.418909227122643,0.3740359897172236,778.0,487.0,291.0,0.0
random,Random,2,24.671137502903814,4.211751145717014,395.90460769739934,0.8544407894736842,1.0,0.5372340425531915,1.0,0.0,0.42903539676308045,0.4627659574468085,752.0,404.0,348.0,0.0
