method,task_type,deadline_miss_reason,count,share_within_method_misses
joint_greedy_endpoints,heavy,forced_disconnect_stranded,2,0.001851851851851852
joint_greedy_endpoints,heavy,local_compute_slow,350,0.32407407407407407
joint_greedy_endpoints,heavy,local_cpu_queue_wait,260,0.24074074074074073
joint_greedy_endpoints,light,local_cpu_queue_wait,88,0.08148148148148149
joint_greedy_endpoints,medium,local_compute_slow,71,0.06574074074074074
joint_greedy_endpoints,medium,local_cpu_queue_wait,309,0.2861111111111111
joint_greedy_full_grid,heavy,forced_disconnect_stranded,2,0.0017094017094017094
joint_greedy_full_grid,heavy,local_compute_slow,350,0.29914529914529914
joint_greedy_full_grid,heavy,local_cpu_queue_wait,260,0.2222222222222222
joint_greedy_full_grid,light,local_cpu_queue_wait,165,0.14102564102564102
joint_greedy_full_grid,medium,local_compute_slow,71,0.06068376068376068
joint_greedy_full_grid,medium,local_cpu_queue_wait,322,0.27521367521367524
joint_greedy_interior,heavy,local_compute_slow,221,0.05515348140753681
joint_greedy_interior,heavy,local_cpu_queue_wait,781,0.19490890940853506
joint_greedy_interior,light,local_cpu_queue_wait,1198,0.29897679061642124
joint_greedy_interior,medium,local_compute_slow,71,0.01771899176441228
joint_greedy_interior,medium,local_cpu_queue_wait,1736,0.4332418268030946
