method,task_type,offload_bin,tasks,share_within_task_type,settled_tasks,success_rate,deadline_miss_rate,mec_admission_attempts,mec_rejections,mec_rejection_rate,mean_mec_queue_wait_sec,p95_mec_queue_wait_sec,mean_total_delay_sec,p95_total_delay_sec,mean_energy_j,mean_task_reward
joint_greedy_endpoints,heavy,full,2992,0.8235617946600605,2991,0.9993313273152792,0.0006686726847208291,2992,0,0.0,0.0,0.0,1.626376923920252,2.385495200599723,0.1462230735341944,0.8118476408845634
joint_greedy_endpoints,heavy,local,641,0.17643820533993945,641,0.0483619344773791,0.9516380655226209,1,1,1.0,0.0,0.0,14.140229467861133,31.30011249745054,1.2431086803321525,-0.9333768209010525
joint_greedy_endpoints,light,full,5245,0.9790927758073549,5245,1.0,0.0,5245,0,0.0,0.0,0.0,0.19461950879106096,0.28929319970366413,0.016298775198993462,0.9440498004094817
joint_greedy_endpoints,light,local,112,0.020907224192645138,112,0.21428571428571427,0.7857142857142857,1,1,1.0,0.0,0.0,16.79557324260105,44.38642088204142,0.13694677803152472,-0.6336589074838804
joint_greedy_endpoints,medium,full,8095,0.9210376607122539,8095,1.0,0.0,8095,0,0.0,0.0,0.0,0.6518849698111402,0.9535862866576638,0.05883442304580557,0.89070403593055
joint_greedy_endpoints,medium,local,694,0.07896233928774604,694,0.45244956772334294,0.547550432276657,2,2,1.0,0.0,0.0,9.887971544458026,35.52397234362329,0.46552368211084166,-0.32012539877475377
joint_greedy_full_grid,heavy,full,2990,0.8230112854390311,2989,0.9993308798929408,0.0006691201070592171,2990,0,0.0,0.0,0.0,1.6262521979048172,2.38560968032627,0.14611163872287028,0.8118744327385856
joint_greedy_full_grid,heavy,local,641,0.17643820533993945,641,0.0483619344773791,0.9516380655226209,1,1,1.0,0.0,0.0,14.154511098240894,31.30011249745054,1.2431086803321525,-0.9333768209010525
joint_greedy_full_grid,heavy,near_full,2,0.0005505092210294523,2,1.0,0.0,2,0,0.0,0.0,0.0,1.5037587306178963,1.5066633744649742,0.4229137476375847,0.7940006589179147
joint_greedy_full_grid,light,full,4819,0.8995706552174725,4819,1.0,0.0,4819,0,0.0,0.0,0.0,0.1944286287460129,0.28954272645562784,0.01616312233915288,0.9438513787554192
joint_greedy_full_grid,light,local,112,0.020907224192645138,112,0.21428571428571427,0.7857142857142857,1,1,1.0,0.0,0.0,16.79557324260105,44.38642088204142,0.13694677803152472,-0.6336589074838804
joint_greedy_full_grid,light,medium_high,13,0.0024267313795034535,13,0.9230769230769231,0.07692307692307693,13,0,0.0,0.0,0.0,1.210596598678992,4.929474141147584,0.050481376601226695,0.7476479798045659
joint_greedy_full_grid,light,near_full,413,0.07709538921037894,413,0.8159806295399515,0.18401937046004843,413,0,0.0,0.0,0.0,2.44659317290615,12.065705632349896,0.04082629955189497,0.5662858736489342
joint_greedy_full_grid,medium,full,8001,0.9103424735464786,8001,1.0,0.0,8001,0,0.0,0.0,0.0,0.6507809422100808,0.9535652294787589,0.058525422936802185,0.8906885448319664
joint_greedy_full_grid,medium,local,694,0.07896233928774604,694,0.4510086455331412,0.5489913544668588,2,2,1.0,0.0,0.0,9.902126011060995,35.52397234362329,0.46552368211084166,-0.32235785223391517
joint_greedy_full_grid,medium,near_full,94,0.0106951871657754,94,0.8723404255319149,0.1276595744680851,94,0,0.0,0.0,0.0,3.8478692045513454,23.54163309797569,0.15129805873725,0.6254817702380385
joint_greedy_interior,heavy,local,291,0.08009909165978531,291,0.013745704467353952,0.9862542955326461,220,220,1.0,0.0,0.0,19.162727936870986,45.41655777871689,1.2274090323837363,-0.9811346337369716
joint_greedy_interior,heavy,medium_low,403,0.11092760803743462,403,0.22084367245657568,0.7791563275434243,403,0,0.0,0.0,0.0,10.154328703596512,20.64527655879959,0.9670594231119324,-0.6855339566639009
joint_greedy_interior,heavy,near_full,2939,0.80897330030278,2939,0.8635590336849268,0.13644096631507316,2939,0,0.0,0.0,0.0,4.390350449337224,13.235208559690287,0.4216638292854301,0.44224183803193423
joint_greedy_interior,light,local,417,0.0778420757886877,417,0.3381294964028777,0.6618705035971223,322,322,1.0,0.0,0.0,10.322262838294245,31.129341052193173,0.13667498154294289,-0.4424467375457253
joint_greedy_interior,light,medium_low,6,0.0011200298674631324,6,1.0,0.0,6,0,0.0,0.0,0.0,0.8736399408638912,1.160097176718807,0.111928627135091,0.8071747851246492
joint_greedy_interior,light,near_full,4934,0.9210378943438492,4934,0.8131333603567086,0.18686663964329145,4934,0,0.0,0.0,0.0,2.212594640501059,10.792931963926199,0.04697414890624232,0.5225375906858392
joint_greedy_interior,medium,local,704,0.08010012515644556,704,0.20170454545454544,0.7982954545454546,535,535,1.0,0.0,0.0,13.595703499046094,42.47138153197887,0.46198255877810473,-0.6991703528306461
joint_greedy_interior,medium,medium_low,347,0.03948116964387302,347,0.6628242074927954,0.3371757925072046,347,0,0.0,0.0,0.0,5.663433436500523,14.557214165732999,0.36204671735035,0.04822060964345172
joint_greedy_interior,medium,near_full,7738,0.8804187051996815,7738,0.8542258981649005,0.1457741018350995,7738,0,0.0,0.0,0.0,2.7587972527387534,11.23949510056694,0.16028135814672406,0.5367176136972157
